question,geography,pct_tot_total,pct_tot_11_or_younger,pct_tot_12,pct_tot_13,pct_tot_14_or_older,pct_tot_6th,pct_tot_7th,pct_tot_8th,pct_tot_asian,pct_tot_black,pct_tot_hispanic_latino,pct_tot_white,pct_tot_all_other_races,pct_tot_multiple_races,n_tot_total,n_tot_11_or_younger,n_tot_12,n_tot_13,n_tot_14_or_older,n_tot_6th,n_tot_7th,n_tot_8th,n_tot_asian,n_tot_black,n_tot_hispanic_latino,n_tot_white,n_tot_all_other_races,n_tot_multiple_races,pct_m_total,pct_m_11_or_younger,pct_m_12,pct_m_13,pct_m_14_or_older,pct_m_6th,pct_m_7th,pct_m_8th,pct_m_asian,pct_m_black,pct_m_hispanic_latino,pct_m_white,pct_m_all_other_races,pct_m_multiple_races,n_m_total,n_m_11_or_younger,n_m_12,n_m_13,n_m_14_or_older,n_m_6th,n_m_7th,n_m_8th,n_m_asian,n_m_black,n_m_hispanic_latino,n_m_white,n_m_all_other_races,n_m_multiple_races,pct_f_total,pct_f_11_or_younger,pct_f_12,pct_f_13,pct_f_14_or_older,pct_f_6th,pct_f_7th,pct_f_8th,pct_f_asian,pct_f_black,pct_f_hispanic_latino,pct_f_white,pct_f_all_other_races,pct_f_multiple_races,n_f_total,n_f_11_or_younger,n_f_12,n_f_13,n_f_14_or_older,n_f_6th,n_f_7th,n_f_8th,n_f_asian,n_f_black,n_f_hispanic_latino,n_f_white,n_f_all_other_races,n_f_multiple_races,pct_tot_13_or_older,pct_tot_other_multiple_races,n_tot_13_or_older,n_tot_other_multiple_races,pct_m_13_or_older,pct_m_other_multiple_races,n_m_13_or_older,n_m_other_multiple_races,pct_f_13_or_older,pct_f_other_multiple_races,n_f_13_or_older,n_f_other_multiple_races,year
QN10: Percentage of students who were ever in a physical fight,State,38.1,35.4,34.9,42.1,42.1,35.4,39.6,39.3,42.8,48.3,38.3,31.2,NA,44.5,1123,187,373,424,139,254,426,440,87,116,237,544,11,101,49.4,48.8,46.5,52.6,49.6,47.9,52.1,48.3,51.6,60.3,48.7,42.9,NA,48.7,561,90,190,212,69,125,225,208,58,53,118,262,7,51,26.1,22.4,23.1,29,35.8,22.2,26,30,NA,35.4,28.2,19.6,NA,39.7,559,97,183,211,68,129,200,230,29,61,118,282,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
QN13: Percentage of students who were ever bullied on school property,State,35.6,36.6,42.9,29,30.9,39.8,39.9,27.4,19.2,28.9,28.7,42,NA,48.4,1124,187,374,425,138,254,427,440,88,116,237,544,11,101,29.3,28.8,36.7,22.3,29.5,31.4,35.6,21,24.4,22.2,21.5,35.9,NA,36.6,562,90,191,213,68,125,226,208,59,53,118,262,7,51,42,44.2,49.3,36,30.8,48.5,43.6,33.8,NA,33.8,36,48,NA,62,559,97,183,211,68,129,200,230,29,61,118,282,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"QN14: Percentage of students who were ever electronically bullied (counting being bullied through texting, Instagram, Facebook, or other social media)",State,22.7,18.6,24.4,24.6,21.1,18.9,26.8,22.1,19.9,19,23.2,23.9,NA,28.7,1122,187,372,424,139,253,426,440,88,116,236,544,11,100,15.7,14.1,14.6,17.9,15.3,12.8,16.6,16.9,20.6,11.5,16.4,17.4,NA,15.1,562,90,191,212,69,125,226,208,59,53,118,263,7,50,29.6,22.9,34.6,31.4,24.3,25.3,36.7,26.8,NA,24.2,29.5,30.4,NA,43.9,557,97,181,211,68,128,199,230,29,61,117,281,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
QN15: Percentage of students who ever seriously thought about killing themselves,State,16.5,16,18.5,15.9,13.3,16.8,18.1,14.5,8.6,18.3,19.4,15.1,NA,19.6,1110,187,365,421,137,252,420,435,87,114,233,540,11,98,9.9,13.1,11.9,7,6.6,11.7,13.4,4.6,6.2,10.1,10.1,10.6,NA,8.1,557,90,186,212,69,123,223,208,58,53,117,261,7,49,23.2,18.8,25.2,25.5,20.8,22.1,22.2,25.4,NA,25.7,28.7,19.6,NA,32.6,551,97,179,208,67,129,196,226,29,59,116,279,4,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
QN16: Percentage of students who ever made a plan about how they would kill themselves,State,10.3,8.3,9.7,12.1,10.8,8.9,10.5,11,7.8,12.5,13.4,7.9,NA,13.9,1111,186,367,421,137,251,422,435,88,114,234,539,11,98,6.9,7.8,6.1,7.6,5.8,6.1,8.7,5.3,6.2,11.9,5.8,5.6,NA,4,558,90,188,212,68,123,225,207,59,53,117,261,7,49,13.9,8.8,13.5,17.6,16.3,11.9,12.5,17.3,NA,13.6,20.9,10.2,NA,25.1,551,96,179,208,68,128,196,227,29,59,117,278,4,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
QN17: Percentage of students who ever tried to kill themselves,State,7,4.4,6.3,8.8,9.6,4.1,8.5,8.3,3.9,10.1,9.7,5.3,NA,5.5,1116,187,367,423,139,252,422,439,87,115,236,541,11,99,4,4.6,5,3,3.6,3.9,6.5,1.5,1.4,4.4,6,3.9,NA,0,559,90,187,213,69,123,224,209,58,53,118,261,7,50,9.6,4.3,7.7,14.7,13.7,4.3,9.6,15,NA,13.3,13.5,6.7,NA,11.8,554,97,180,209,68,129,197,228,29,60,117,280,4,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
"QN45: Percentage of students who reported that their mental health was most of the time or always not good (including stress, anxiety, and depression, during the 30 days before the survey)",State,18.4,13.2,20.1,19.5,21.9,13.1,23,19.4,12.2,17.8,19.2,19.2,NA,21.6,1115,185,370,423,137,250,424,437,88,115,234,540,10,101,10.9,8.1,15.2,9.3,8.8,6.8,17.1,9,4.5,12,9.4,12.7,NA,11.4,554,89,187,211,67,122,223,206,59,52,115,259,6,51,26.5,18.2,24.9,31.7,35.9,19.6,29.3,30.6,NA,24.3,28.8,25.6,NA,33.3,558,96,183,211,68,128,200,229,29,61,118,281,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023
QN10: Were ever in a physical fight,Central,30,31.1,22.8,NA,NA,30.099999999999998,31.4,NA,NA,30.9,NA,24.9,NA,NA,63,30,24,NA,NA,41,21,1,1,10,2,40,NA,NA,28.199999999999996,16.7,29.299999999999997,NA,NA,26.200000000000003,37.4,NA,NA,NA,NA,19.7,NA,NA,31,10,15,NA,NA,17,13,1,0,7,0,18,NA,NA,31.900000000000002,40.5,NA,NA,NA,33.800000000000004,NA,NA,NA,NA,NA,29.2,NA,NA,32,20,9,NA,NA,24,8,0,1,3,2,22,NA,NA,NA,NA,9,8,NA,NA,6,5,NA,NA,3,3,2023
QN13: Were ever bullied on school property,Central,35.6,33.5,36.4,NA,NA,34.8,41.6,NA,NA,38.800000000000004,NA,33.900000000000006,NA,NA,63,30,24,NA,NA,41,21,1,1,10,2,40,NA,NA,33.6,38.2,28.9,NA,NA,36,30,NA,NA,NA,NA,41.9,NA,NA,31,10,15,NA,NA,17,13,1,0,7,0,18,NA,NA,37.8,30.4,NA,NA,NA,33.6,NA,NA,NA,NA,NA,27.3,NA,NA,32,20,9,NA,NA,24,8,0,1,3,2,22,NA,NA,NA,NA,9,8,NA,NA,6,5,NA,NA,3,3,2023
QN14: Were ever electronically bullied,Central,15.299999999999999,9.6,23.200000000000003,NA,NA,11.600000000000001,31.6,NA,NA,4.3999999999999995,NA,16.3,NA,NA,63,30,24,NA,NA,41,21,1,1,10,2,40,NA,NA,7.9,10.5,8.1,NA,NA,6.1,14.299999999999999,NA,NA,NA,NA,12.9,NA,NA,31,10,15,NA,NA,17,13,1,0,7,0,18,NA,NA,23.3,8.9,NA,NA,NA,16.7,NA,NA,NA,NA,NA,19,NA,NA,32,20,9,NA,NA,24,8,0,1,3,2,22,NA,NA,NA,NA,9,8,NA,NA,6,5,NA,NA,3,3,2023
