question,geography,pct_tot_total,pct_tot_11_or_younger,pct_tot_12,pct_tot_13,pct_tot_14_or_older,pct_tot_6th,pct_tot_7th,pct_tot_8th,pct_tot_asian,pct_tot_black,pct_tot_hispanic_latino,pct_tot_white,pct_tot_all_other_races,pct_tot_multiple_races,n_tot_total,n_tot_11_or_younger,n_tot_12,n_tot_13,n_tot_14_or_older,n_tot_6th,n_tot_7th,n_tot_8th,n_tot_asian,n_tot_black,n_tot_hispanic_latino,n_tot_white,n_tot_all_other_races,n_tot_multiple_races,pct_m_total,pct_m_11_or_younger,pct_m_12,pct_m_13,pct_m_14_or_older,pct_m_6th,pct_m_7th,pct_m_8th,pct_m_asian,pct_m_black,pct_m_hispanic_latino,pct_m_white,pct_m_all_other_races,pct_m_multiple_races,n_m_total,n_m_11_or_younger,n_m_12,n_m_13,n_m_14_or_older,n_m_6th,n_m_7th,n_m_8th,n_m_asian,n_m_black,n_m_hispanic_latino,n_m_white,n_m_all_other_races,n_m_multiple_races,pct_f_total,pct_f_11_or_younger,pct_f_12,pct_f_13,pct_f_14_or_older,pct_f_6th,pct_f_7th,pct_f_8th,pct_f_asian,pct_f_black,pct_f_hispanic_latino,pct_f_white,pct_f_all_other_races,pct_f_multiple_races,n_f_total,n_f_11_or_younger,n_f_12,n_f_13,n_f_14_or_older,n_f_6th,n_f_7th,n_f_8th,n_f_asian,n_f_black,n_f_hispanic_latino,n_f_white,n_f_all_other_races,n_f_multiple_races,pct_tot_13_or_older,pct_tot_other_multiple_races,n_tot_13_or_older,n_tot_other_multiple_races,pct_m_13_or_older,pct_m_other_multiple_races,n_m_13_or_older,n_m_other_multiple_races,pct_f_13_or_older,pct_f_other_multiple_races,n_f_13_or_older,n_f_other_multiple_races,year
QN15: Ever seriously thought about killing themselves,Central,14.399999999999999,12.8,20.4,NA,NA,11.5,27,NA,NA,12.2,NA,15.9,NA,NA,63,30,24,NA,NA,41,21,1,1,10,2,40,NA,NA,9.9,11.899999999999999,11.4,NA,NA,6.9,20.3,NA,NA,NA,NA,9,NA,NA,31,10,15,NA,NA,17,13,1,0,7,0,18,NA,NA,19.2,13.4,NA,NA,NA,15.8,NA,NA,NA,NA,NA,21.6,NA,NA,32,20,9,NA,NA,24,8,0,1,3,2,22,NA,NA,NA,NA,9,8,NA,NA,6,5,NA,NA,3,3,2023
QN16: Ever made a plan about how they would kill themselves,Central,9,10.100000000000001,10.5,NA,NA,7.199999999999999,17.1,NA,NA,12.2,NA,9.1,NA,NA,63,30,24,NA,NA,41,21,1,1,10,2,40,NA,NA,7.5,11.899999999999999,5.7,NA,NA,6.9,10.100000000000001,NA,NA,NA,NA,4.5,NA,NA,31,10,15,NA,NA,17,13,1,0,7,0,18,NA,NA,10.7,8.9,NA,NA,NA,7.5,NA,NA,NA,NA,NA,12.8,NA,NA,32,20,9,NA,NA,24,8,0,1,3,2,22,NA,NA,NA,NA,9,8,NA,NA,6,5,NA,NA,3,3,2023
QN17: Ever tried to kill themselves,Central,2.8000000000000003,2.7,3.9,NA,NA,1.9,6.4,NA,NA,0,NA,4.5,NA,NA,63,30,24,NA,NA,41,21,1,1,10,2,40,NA,NA,2.4,0,5.7,NA,NA,0,10.100000000000001,NA,NA,NA,NA,4.5,NA,NA,31,10,15,NA,NA,17,13,1,0,7,0,18,NA,NA,3.2,4.5,NA,NA,NA,3.6999999999999997,NA,NA,NA,NA,NA,4.6,NA,NA,32,20,9,NA,NA,24,8,0,1,3,2,22,NA,NA,NA,NA,9,8,NA,NA,6,5,NA,NA,3,3,2023
QN45: Reported that their mental health was most of the time or always not good,Central,15,10.2,18.2,NA,NA,9.700000000000001,38,NA,NA,4.3999999999999995,NA,17.7,NA,NA,63,30,24,NA,NA,41,21,1,1,10,2,40,NA,NA,12.1,10.5,13.8,NA,NA,6.1,32.1,NA,NA,NA,NA,17.4,NA,NA,31,10,15,NA,NA,17,13,1,0,7,0,18,NA,NA,18.099999999999998,10,NA,NA,NA,12.9,NA,NA,NA,NA,NA,18,NA,NA,32,20,9,NA,NA,24,8,0,1,3,2,22,NA,NA,NA,NA,9,8,NA,NA,6,5,NA,NA,3,3,2023
QN10: Were ever in a physical fight,Eastern,59.8,NA,NA,NA,NA,NA,NA,60.6,NA,66.3,61.5,31.6,NA,NA,56,1,3,NA,NA,1,4,50,0,21,11,19,NA,NA,53.6,NA,NA,NA,NA,NA,NA,53.7,NA,NA,NA,27.500000000000004,NA,NA,35,1,3,NA,NA,1,4,29,0,9,9,14,NA,NA,71.39999999999999,NA,NA,NA,NA,NA,NA,71.39999999999999,NA,72.5,NA,NA,NA,NA,19,0,0,NA,NA,0,0,19,0,11,1,5,NA,NA,59.9,NA,52,4,52.7,NA,31,3,71.39999999999999,NA,19,1,2023
QN13: Were ever bullied on school property,Eastern,33.800000000000004,NA,NA,NA,NA,NA,NA,32.4,NA,40.300000000000004,17,44.5,NA,NA,56,1,3,NA,NA,1,4,50,0,21,11,19,NA,NA,28.999999999999996,NA,NA,NA,NA,NA,NA,24.7,NA,NA,NA,46.6,NA,NA,35,1,3,NA,NA,1,4,29,0,9,9,14,NA,NA,35.9,NA,NA,NA,NA,NA,NA,35.9,NA,44.9,NA,NA,NA,NA,19,0,0,NA,NA,0,0,19,0,11,1,5,NA,NA,34.699999999999996,NA,52,4,30.3,NA,31,3,35.9,NA,19,1,2023
QN14: Were ever electronically bullied,Eastern,20.9,NA,NA,NA,NA,NA,NA,19.8,NA,26,23.5,18.3,NA,NA,56,1,3,NA,NA,1,4,50,0,21,11,19,NA,NA,15,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,17.5,NA,NA,35,1,3,NA,NA,1,4,29,0,9,9,14,NA,NA,21.099999999999998,NA,NA,NA,NA,NA,NA,21.099999999999998,NA,27.500000000000004,NA,NA,NA,NA,19,0,0,NA,NA,0,0,19,0,11,1,5,NA,NA,22.5,NA,52,4,17.5,NA,31,3,21.099999999999998,NA,19,1,2023
QN15: Ever seriously thought about killing themselves,Eastern,20.200000000000003,NA,NA,NA,NA,NA,NA,21,NA,27,27.200000000000003,6.5,NA,NA,55,1,3,NA,NA,1,4,49,0,21,10,19,NA,NA,7.7,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,0,NA,NA,35,1,3,NA,NA,1,4,29,0,9,9,14,NA,NA,35,NA,NA,NA,NA,NA,NA,35,NA,44.9,NA,NA,NA,NA,19,0,0,NA,NA,0,0,19,0,11,1,5,NA,NA,21.7,NA,51,4,9,NA,31,3,35,NA,19,1,2023
QN16: Ever made a plan about how they would kill themselves,Eastern,14.7,NA,NA,NA,NA,NA,NA,14.899999999999999,NA,16,18.2,11,NA,NA,55,1,3,NA,NA,1,4,49,0,21,10,19,NA,NA,7.5,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,6.7,NA,NA,35,1,3,NA,NA,1,4,29,0,9,9,14,NA,NA,23.400000000000002,NA,NA,NA,NA,NA,NA,23.400000000000002,NA,26.6,NA,NA,NA,NA,19,0,0,NA,NA,0,0,19,0,11,1,5,NA,NA,15.8,NA,51,4,8.7,NA,31,3,23.400000000000002,NA,19,1,2023
QN17: Ever tried to kill themselves,Eastern,16.900000000000002,NA,NA,NA,NA,NA,NA,17.4,NA,27,25.5,0,NA,NA,56,1,3,NA,NA,1,4,50,0,21,11,19,NA,NA,7.7,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,0,NA,NA,35,1,3,NA,NA,1,4,29,0,9,9,14,NA,NA,22.6,NA,NA,NA,NA,NA,NA,22.6,NA,35.699999999999996,NA,NA,NA,NA,19,0,0,NA,NA,0,0,19,0,11,1,5,NA,NA,18.2,NA,52,4,9,NA,31,3,22.6,NA,19,1,2023
QN45: Reported that their mental health was most of the time or always not good,Eastern,25.1,NA,NA,NA,NA,NA,NA,28.000000000000004,NA,36.4,19.400000000000002,17.5,NA,NA,56,1,3,NA,NA,1,4,50,0,21,11,19,NA,NA,8.6,NA,NA,NA,NA,NA,NA,10.8,NA,NA,NA,6.7,NA,NA,35,1,3,NA,NA,1,4,29,0,9,9,14,NA,NA,45.300000000000004,NA,NA,NA,NA,NA,NA,45.300000000000004,NA,54.1,NA,NA,NA,NA,19,0,0,NA,NA,0,0,19,0,11,1,5,NA,NA,27.1,NA,52,4,10,NA,31,3,45.300000000000004,NA,19,1,2023
QN10: Were ever in a physical fight,Northern,32.800000000000004,34.9,32.2,NA,NA,34.8,34.1,30.4,40.300000000000004,44.1,30.7,26.200000000000003,NA,NA,2005,485,627,NA,NA,618,644,742,234,208,542,786,NA,NA,43.3,50.5,38.9,NA,NA,46.800000000000004,41.199999999999996,42.4,49.5,66.2,38.800000000000004,33.800000000000004,NA,NA,1023,244,333,NA,NA,321,342,359,132,92,256,419,NA,NA,21.7,17.299999999999997,25,NA,NA,21.9,26.5,18.3,19.3,29.599999999999998,23.400000000000002,18.099999999999998,NA,NA,974,239,290,NA,NA,295,297,382,101,116,284,364,NA,NA,32.4,22.3,893,197,43.1,36.9,446,100,21.3,9.1,445,97,2023
QN13: Were ever bullied on school property,Northern,22.5,27.1,27.400000000000002,NA,NA,28.999999999999996,22.3,18.8,18.5,19.8,25.3,23.400000000000002,NA,NA,2003,484,628,NA,NA,617,645,740,235,208,541,785,NA,NA,16.7,17.8,24.5,NA,NA,19.3,20.4,12.5,22.900000000000002,12.9,12.7,17.5,NA,NA,1019,241,334,NA,NA,318,343,357,133,92,255,417,NA,NA,28.599999999999998,37.4,30.5,NA,NA,39.300000000000004,24.3,25.3,8.4,24.3,36.8,29.7,NA,NA,976,241,290,NA,NA,297,297,382,101,116,284,365,NA,NA,17.8,28.7,891,197,11.4,17.4,444,100,24.3,38.9,445,97,2023
QN14: Were ever electronically bullied,Northern,18.3,21.2,16.400000000000002,NA,NA,19.3,15.4,19.400000000000002,17.7,20.9,22.6,14.2,NA,NA,2005,485,628,NA,NA,618,645,741,235,207,542,787,NA,NA,14.499999999999998,16.8,10.5,NA,NA,13.200000000000001,10.7,17.4,18.5,21.9,12.4,11.5,NA,NA,1021,242,334,NA,NA,319,343,358,133,91,256,420,NA,NA,22.400000000000002,26,22.8,NA,NA,25.7,20.599999999999998,21.5,15.9,20.1,31.900000000000002,17.2,NA,NA,976,241,290,NA,NA,297,297,382,101,116,284,364,NA,NA,18.3,23.400000000000002,892,196,15.9,14.799999999999999,445,99,20.8,30.8,445,97,2023
QN15: Ever seriously thought about killing themselves,Northern,13.4,14.000000000000002,15.6,NA,NA,14.299999999999999,14.6,12.1,5.7,17.9,18.9,11,NA,NA,1992,485,622,NA,NA,617,638,736,232,206,538,782,NA,NA,7.9,10.8,11.600000000000001,NA,NA,8.7,11.799999999999999,4.6,3.3000000000000003,17.4,6.800000000000001,8,NA,NA,1020,243,331,NA,NA,319,341,359,132,92,256,418,NA,NA,19.3,17.4,19.8,NA,NA,20,17.599999999999998,19.900000000000002,11.3,18.3,30.099999999999998,14.2,NA,NA,964,240,287,NA,NA,296,292,376,99,114,280,361,NA,NA,11.899999999999999,11.600000000000001,885,196,4.5,12.6,446,99,19.6,10.8,437,97,2023
QN16: Ever made a plan about how they would kill themselves,Northern,9.700000000000001,8,10.5,NA,NA,10.6,9.700000000000001,8.799999999999999,6.3,14.000000000000002,12.9,6.4,NA,NA,1997,485,624,NA,NA,617,640,739,233,205,540,784,NA,NA,6.2,2.6,8.7,NA,NA,4.1000000000000005,8.5,5.1,5.5,19.5,2.9000000000000004,4.7,NA,NA,1020,243,332,NA,NA,319,341,359,133,91,256,418,NA,NA,13.4,14.000000000000002,12.5,NA,NA,17.5,11,12.7,8.1,10.2,22,8.3,NA,NA,969,240,288,NA,NA,296,294,379,99,114,282,363,NA,NA,9.9,12.7,888,196,6.2,11,445,99,13.8,14.2,441,97,2023
QN17: Ever tried to kill themselves,Northern,5.800000000000001,5.2,6.3,NA,NA,4.5,7.199999999999999,5.6000000000000005,3.3000000000000003,9.6,8.200000000000001,4,NA,NA,1997,485,623,NA,NA,617,640,739,231,206,540,785,NA,NA,3.1,4.2,5.7,NA,NA,3.3000000000000003,6.1,0.7000000000000001,0.2,7.199999999999999,4.3,2.8000000000000003,NA,NA,1017,242,330,NA,NA,318,340,358,131,91,256,417,NA,NA,8.6,6.3,7.000000000000001,NA,NA,5.800000000000001,8.3,10.6,10.5,11.200000000000001,11.799999999999999,5.3,NA,NA,972,241,289,NA,NA,297,295,380,99,115,282,365,NA,NA,5.7,2.6,889,196,1.0999999999999999,0.1,445,99,10.5,4.9,442,97,2023
QN45: Reported that their mental health was most of the time or always not good,Northern,16.1,11.200000000000001,14.399999999999999,NA,NA,13.200000000000001,17.299999999999997,17,10.2,19.8,19.5,14.899999999999999,NA,NA,1997,485,624,NA,NA,616,641,738,235,207,537,783,NA,NA,8.6,5.5,12.6,NA,NA,8.1,9.8,8.1,2.7,22.400000000000002,7.6,8,NA,NA,1017,244,331,NA,NA,320,340,356,133,91,252,418,NA,NA,23.799999999999997,17.5,16.2,NA,NA,18.4,25.4,26.1,27.6,18.099999999999998,29.799999999999997,22.1,NA,NA,972,239,289,NA,NA,294,296,381,101,116,283,362,NA,NA,19,18.5,888,196,7.5,19.400000000000002,442,99,30.7,17.599999999999998,444,97,2023
QN10: Were ever in a physical fight,Northwestern,40.699999999999996,25.7,31.7,NA,NA,27.200000000000003,38.7,46.400000000000006,NA,45.7,47.4,34.699999999999996,NA,NA,259,16,90,NA,NA,18,124,117,4,22,71,123,NA,NA,51.1,NA,42.699999999999996,NA,NA,NA,48.3,53.5,NA,63.1,58.3,45.4,NA,NA,132,6,46,NA,NA,7,69,56,3,11,36,58,NA,NA,29.799999999999997,10.5,21.4,NA,NA,8.7,27.6,38.7,NA,27.6,36.6,24.9,NA,NA,127,10,44,NA,NA,11,55,61,1,11,35,65,NA,NA,48.9,44.2,153,35,56.00000000000001,44.6,80,21,40.1,43.7,73,14,2023
QN13: Were ever bullied on school property,Northwestern,43.9,43.8,49.6,NA,NA,53.400000000000006,44.9,40.5,NA,30.9,32.2,49.8,NA,NA,259,16,90,NA,NA,18,124,117,4,22,71,123,NA,NA,41.4,NA,49.5,NA,NA,NA,41.3,38.800000000000004,NA,26.900000000000002,35.3,44.2,NA,NA,132,6,46,NA,NA,7,69,56,3,11,36,58,NA,NA,46.5,51.2,49.8,NA,NA,51.5,48.9,42.199999999999996,NA,35.099999999999994,29.099999999999998,55.00000000000001,NA,NA,127,10,44,NA,NA,11,55,61,1,11,35,65,NA,NA,40.2,60,153,35,37.9,52.5,80,21,43,71.3,73,14,2023
QN14: Were ever electronically bullied,Northwestern,25.3,18.4,21.2,NA,NA,15.1,26.1,26.900000000000002,NA,27.900000000000002,20.4,25.900000000000002,NA,NA,259,16,90,NA,NA,18,124,117,4,22,71,123,NA,NA,16.6,NA,10,NA,NA,NA,17.2,19.1,NA,9,22.5,13.700000000000001,NA,NA,132,6,46,NA,NA,7,69,56,3,11,36,58,NA,NA,34.300000000000004,29.9,31.6,NA,NA,24.8,36.199999999999996,35.3,NA,47.4,18.3,37.1,NA,NA,127,10,44,NA,NA,11,55,61,1,11,35,65,NA,NA,28.999999999999996,32,153,35,22.2,15.6,80,21,37.3,56.99999999999999,73,14,2023
QN15: Ever seriously thought about killing themselves,Northwestern,20.599999999999998,18.9,24.5,NA,NA,29.2,21,18.099999999999998,NA,30,21.8,14.499999999999998,NA,NA,255,16,86,NA,NA,18,120,117,4,22,69,122,NA,NA,13,NA,16.7,NA,NA,NA,15.4,4.5,NA,5.6000000000000005,15.4,8.1,NA,NA,131,6,45,NA,NA,7,68,56,3,11,35,58,NA,NA,28.799999999999997,8.200000000000001,32.2,NA,NA,19.400000000000002,27.6,32.800000000000004,NA,55.2,28.1,20.3,NA,NA,124,10,41,NA,NA,11,52,61,1,11,34,64,NA,NA,18.4,26.400000000000002,153,34,8.5,14.000000000000002,80,21,30.7,46.800000000000004,73,13,2023
QN16: Ever made a plan about how they would kill themselves,Northwestern,12.5,6.9,10.6,NA,NA,13.3,12.2,12.7,NA,18.5,15.1,9.5,NA,NA,255,16,87,NA,NA,18,121,116,4,22,69,122,NA,NA,7.5,NA,4.9,NA,NA,NA,10.5,2.7,NA,11.799999999999999,6.800000000000001,6.3,NA,NA,131,6,46,NA,NA,7,69,55,3,11,35,58,NA,NA,17.9,0,16.2,NA,NA,12.5,14.2,23.400000000000002,NA,25.4,23.400000000000002,12.5,NA,NA,124,10,41,NA,NA,11,52,61,1,11,34,64,NA,NA,14.6,12.9,152,34,7.7,6.5,79,21,22.900000000000002,23.3,73,13,2023
QN17: Ever tried to kill themselves,Northwestern,10.4,6.9,9.8,NA,NA,11.799999999999999,9.8,10.8,NA,12.8,12.4,8.3,NA,NA,256,16,87,NA,NA,18,121,117,4,22,70,122,NA,NA,6.4,NA,7.5,NA,NA,NA,7.1,1.3,NA,11.799999999999999,4.3999999999999995,4.2,NA,NA,132,6,46,NA,NA,7,69,56,3,11,36,58,NA,NA,14.7,0,12,NA,NA,0,13,21.099999999999998,NA,13.8,20.4,12.1,NA,NA,124,10,41,NA,NA,11,52,61,1,11,34,64,NA,NA,11.4,5.7,153,34,4.6,0,80,21,19.8,15,73,13,2023
QN45: Reported that their mental health was most of the time or always not good,Northwestern,21.9,16.8,28.1,NA,NA,9.5,25.900000000000002,20.4,NA,22,20.3,22.8,NA,NA,258,16,90,NA,NA,18,123,117,4,22,71,123,NA,NA,14.299999999999999,NA,26.900000000000002,NA,NA,NA,24.4,5.6000000000000005,NA,11.4,11.3,16.6,NA,NA,131,6,46,NA,NA,7,68,56,3,11,36,58,NA,NA,29.799999999999997,18.8,29.299999999999997,NA,NA,15.6,27.700000000000003,36.5,NA,32.9,29.099999999999998,28.499999999999996,NA,NA,127,10,44,NA,NA,11,55,61,1,11,35,65,NA,NA,18.6,21.7,152,34,7.199999999999999,9.9,79,20,32.6,39.2,73,14,2023
QN10: Were ever in a physical fight,Southwestern,40.1,35.4,43,NA,NA,37,46.2,34.599999999999994,NA,66.9,56.89999999999999,35,NA,NA,276,71,123,NA,NA,100,136,39,1,13,22,211,NA,NA,60.6,57.199999999999996,66.10000000000001,NA,NA,56.99999999999999,72.39999999999999,49.6,NA,NA,70.1,56.39999999999999,NA,NA,137,37,58,NA,NA,53,64,19,1,8,12,102,NA,NA,17.599999999999998,9.8,22.7,NA,NA,13.700000000000001,22.900000000000002,11.899999999999999,NA,NA,41.3,13.100000000000001,NA,NA,138,34,65,NA,NA,47,71,20,0,4,10,109,NA,NA,41.9,64.8,82,22,56.89999999999999,70.39999999999999,42,11,18.099999999999998,58.9,39,11,2023
QN13: Were ever bullied on school property,Southwestern,52.2,50.8,59.699999999999996,NA,NA,52.6,58.699999999999996,30,NA,36.4,41.3,53.1,NA,NA,276,71,123,NA,NA,100,136,39,1,13,22,211,NA,NA,41,39.1,48.9,NA,NA,38,56.8,14.000000000000002,NA,NA,38.2,42,NA,NA,137,37,58,NA,NA,53,64,19,1,8,12,102,NA,NA,63.7,64.5,69.3,NA,NA,69.6,59.199999999999996,54.2,NA,NA,44.9,64.4,NA,NA,138,34,65,NA,NA,47,71,20,0,4,10,109,NA,NA,39.800000000000004,82,82,22,31.2,71.3,42,11,48.5,93.4,39,11,2023
