school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,7,Arlington County,613,Innovation Elementary,404,NA,404
2021-2022,7,Arlington County,37,Integration Station,31,NA,31
2021-2022,7,Arlington County,440,Jamestown Elementary,498,NA,498
2021-2022,7,Arlington County,180,Jefferson Middle,925,NA,925
2021-2022,7,Arlington County,500,Kenmore Middle,1028,NA,1028
2021-2022,7,Arlington County,460,Long Branch Elementary,404,NA,404
2021-2022,7,Arlington County,627,Montessori Public School of Arlington,497,NA,497
2021-2022,7,Arlington County,410,Nottingham Elementary,406,NA,406
2021-2022,7,Arlington County,360,Oakridge Elementary,620,NA,620
2021-2022,7,Arlington County,510,Randolph Elementary,424,NA,424
2021-2022,7,Arlington County,240,Swanson Middle,962,NA,962
2021-2022,7,Arlington County,420,Taylor Elementary,513,NA,513
2021-2022,7,Arlington County,211,Tuckahoe Elementary,431,NA,431
2021-2022,7,Arlington County,450,Wakefield High,2766,1,2767
2021-2022,7,Arlington County,80,Washington-Liberty High,2550,1,2551
2021-2022,7,Arlington County,480,Williamsburg Middle,840,NA,840
2021-2022,7,Arlington County,330,Yorktown High,2532,1,2533
2021-2022,8,Augusta County,212,Beverley Manor Middle,616,NA,616
2021-2022,8,Augusta County,660,Buffalo Gap High,452,NA,452
2021-2022,8,Augusta County,30,Cassell Elementary,671,NA,671
2021-2022,8,Augusta County,140,Churchville Elementary,399,NA,399
2021-2022,8,Augusta County,370,Craigsville Elementary,134,NA,134
2021-2022,8,Augusta County,842,Edward G. Clymore Elementary,729,NA,729
2021-2022,8,Augusta County,670,Fort Defiance High,725,1,726
2021-2022,8,Augusta County,843,Guy K. Stump Elementary,429,NA,429
2021-2022,8,Augusta County,40,North River Elementary,238,NA,238
2021-2022,8,Augusta County,740,Riverheads Elementary,699,NA,699
2021-2022,8,Augusta County,680,Riverheads High,477,NA,477
2021-2022,8,Augusta County,90,S. Gordon Stewart Middle,510,NA,510
2021-2022,8,Augusta County,440,Stuarts Draft Elementary,558,NA,558
2021-2022,8,Augusta County,730,Stuarts Draft High,711,NA,711
2021-2022,8,Augusta County,60,Stuarts Draft Middle,464,NA,464
2021-2022,8,Augusta County,640,Wilson Elementary,661,NA,661
2021-2022,8,Augusta County,720,Wilson Memorial High,822,1,823
2021-2022,8,Augusta County,844,Wilson Middle,634,NA,634
