region_number,s_num,yr,pct_no_particpate,pct_no_adult,pct_offered_drugs,pct_bullied,pct_bullied_others,pct_cyberbully,pct_cyberbully_others,pct_sexual_comment,pct_sad_activity,pct_sad_adult,pct_consider_sui,pct_asked_help,pct_plan_sui,avg_sui_attempts,pct_tell_adult,pct_sui_training,avg_peer_rel,avg_adult_rel,avg_worry_violence,avg_bully_prob,avg_envi,locality_grouping,division_number,sch_id,region_name,division_name,school_name
7,312,2022,17.5,5,11.4,14.1,5.4,26,6.7,22.8,45.5,44.6,10.9,47.1,55.9,1.3,81.1,17.9,4.2,4.5,2.2,3.2,3.7,division,111,NA,Southwest,Galax City,NA
7,710,2022,16.9,4.3,15.4,25.8,8.9,35.6,5.6,33.5,43.5,42.8,13.8,45.9,64.3,1.3,78.6,21,4.2,4.6,2.4,3.6,3.7,division,035,NA,Southwest,Giles County,NA
3,1056,2022,20.1,5.9,27.5,17.5,6.2,34.1,9,40.9,49.1,39.9,18.5,32.8,62.1,1.2,68.4,22.9,3.9,4,3.1,3.9,3,division,036,NA,Northern Neck,Gloucester County,NA
1,625,2022,14.3,2.5,19.9,18.4,5.1,32,8.3,38.9,45.6,46.2,17.6,42.7,53.6,1.4,77,22.1,4.3,4.6,2.5,3.3,3.7,division,037,NA,Central Virginia,Goochland County,NA
7,311,2022,21.1,3.6,19.6,25.7,8.4,30.2,7.7,31.5,45.3,43.4,16.1,30,64,1.1,80.7,17.7,4.3,4.6,2.5,3.5,3.7,division,038,NA,Southwest,Grayson County,NA
5,615,2022,18.4,5.1,10.9,14.3,3.3,25.4,3.3,28.6,41.5,44.2,15,39.1,47.8,1,77.9,11.5,4.2,4.5,2.4,3.4,3.7,division,039,NA,Valley,Greene County,NA
8,354,2022,14.8,7.4,7.8,11.6,4.5,20.9,5.6,22.9,42.1,31.9,16.7,30.5,57.6,1.3,67.5,13.3,3.5,4.1,3.4,3.6,2.7,division,040,NA,Southside,Greensville County,NA
8,920,2022,20.3,9,13,17.4,5.3,26.1,7.3,28.9,43.5,34.8,13.9,27.3,60.9,1.5,73.2,12.4,3.8,4.3,3.3,3.9,3,division,041,NA,Southside,Halifax County,NA
2,2428,2022,18.3,5.3,13.3,11.1,4.4,21.9,7,28.9,45.1,36.6,17.8,36.7,58.9,1.3,66.7,17.7,3.8,4.3,3.3,3.4,3.3,division,112,NA,Tidewater,Hampton City,NA
1,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,042,NA,Central Virginia,Hanover County,NA
5,1219,2022,19.9,8.5,13.4,8.9,3,21.1,5.4,24.9,42.3,40.9,15.3,34.8,57.2,0.9,70.5,15.1,4.1,4.7,2.8,3.1,4,division,113,NA,Valley,Harrisonburg City,NA
1,8912,2022,13.9,5.3,11.2,10.1,3.6,18.6,6,25,35.7,43.6,10.8,42.3,51.8,1.1,76.8,29.8,4.3,4.6,2.8,3.2,3.9,division,043,NA,Central Virginia,Henrico County,NA
6,1385,2022,16.8,5.8,15.6,16.2,5.4,28.2,5.7,27.7,43.4,43.7,14.9,38.6,58,1.2,73.9,15.7,4.2,4.5,2.7,3.7,3.5,division,044,NA,Western Virginia,Henry County,NA
5,44,2022,15.2,0.8,15.9,27.3,11.4,36.4,4.5,22.7,31.8,50,9.1,50,50,1,84.1,22.7,4.7,4.7,1.8,2.7,3.8,division,045,NA,Valley,Highland County,NA
1,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,114,NA,Central Virginia,Hopewell City,NA
2,688,2022,15,4.2,10.9,15.3,3.8,27.8,5.7,29.8,42,45.2,11.2,39,54.5,1.2,74.3,17.4,4.2,4.6,2.6,3.4,3.6,division,046,NA,Tidewater,Isle of Wight County,NA
3,139,2022,13,3.9,15.2,23.7,10.1,28.1,4.3,29.5,38.1,42.4,9.4,15.4,61.5,1,76.3,15.8,4,4.6,2.2,3.5,3.6,division,049,NA,Northern Neck,King and Queen County,NA
3,896,2022,14.8,5.6,12.3,14,4.9,22.2,5.2,31.2,40.1,42.6,13.2,31.4,50,1.1,75.6,21.2,4.2,4.7,2.5,3.4,3.9,division,048,NA,Northern Neck,King George County,NA
3,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,050,NA,Northern Neck,King William County,NA
3,182,2022,16,4.7,17.1,24.2,7.7,31.3,7.1,34.1,43.4,34.1,13.2,33.3,62.5,1.5,65.9,12.6,3.9,4.3,2.5,3.4,3.2,division,051,NA,Northern Neck,Lancaster County,NA
7,412,2022,20.6,7.1,22.9,24.3,6.6,38.3,6.8,37.1,45.9,37.1,18,39.2,58.1,1.2,78.4,17.7,4.2,4.3,2.8,3.9,3.2,division,052,NA,Southwest,Lee County,NA
4,13274,2022,11.9,3.3,8.4,8.6,2.2,17,4.3,23.2,33,50.8,8.3,46.5,49.6,0.9,81.8,33.1,4.5,4.7,2.2,2.8,4.2,division,053,NA,Northern Virginia,Loudoun County,NA
5,1146,2022,15.9,6.6,9.8,12.2,4.2,24.3,5.5,26.4,44.1,41.3,12.8,38.1,53.7,1.2,77.4,18.3,4.3,4.6,2.1,3.3,3.9,division,054,NA,Valley,Louisa County,NA
8,371,2022,20.1,7.5,17.5,19.7,4,30.2,6.7,30.2,44.2,37.5,14.8,34.5,63.6,1.2,69.3,14,4.1,4.5,2.7,3.5,3.5,division,055,NA,Southside,Lunenburg County,NA
5,1336,2022,14.6,5.3,12.3,13.5,5.4,23.1,6.5,28.2,41.5,40.3,13.5,38.9,58.9,1.1,67.7,16.5,4.1,4.4,2.7,3.4,3.6,division,115,NA,Valley,Lynchburg City,NA
4,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,056,NA,Northern Virginia,Madison County,NA
4,831,2022,19.9,8.2,16.8,11.3,4.9,20.9,6.4,27.7,48.3,34.9,11.9,29.3,58.6,1.2,69,14.8,4.1,4.6,2.6,3.2,3.8,division,144,NA,Northern Virginia,Manassas Park City,NA
4,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,143,NA,Northern Virginia,Manassas City,NA
6,460,2022,16.5,4.4,13.4,15.9,6.1,25.9,7.6,28.9,45.4,37.2,17,42.3,61.5,1.4,70.9,13,3.9,4.4,2.8,3.6,3.4,division,116,NA,Western Virginia,Martinsville City,NA
3,190,2022,15.7,1.9,12.2,22.1,5.8,31.6,3.7,32.6,56.3,49.5,16.3,41.9,61.3,1.1,84.2,21.1,4.3,4.6,2.2,3.5,3.5,division,057,NA,Northern Neck,Mathews County,NA
8,1198,2022,14.6,8.3,12.6,18.2,5.5,25.9,7.9,28.2,42.4,34.1,16.2,38.7,65.5,1.4,68.9,14.9,3.8,4.1,2.9,3.9,2.9,division,058,NA,Southside,Mecklenburg County,NA
3,300,2022,18.3,6.6,12,20.7,6.3,36,5.7,31.3,46.3,35.7,16.3,42.9,55.1,1.2,73.3,19.3,4,4.3,2.4,3.2,3.4,division,059,NA,Northern Neck,Middlesex County,NA
6,2117,2022,15.8,3.3,15.8,20.4,4.7,30.4,6.6,35.8,42.8,46.2,14.5,44.2,55.5,1,76.1,24.1,4.3,4.6,2.8,3.5,3.7,division,060,NA,Western Virginia,Montgomery County,NA
5,407,2022,13,5.3,12.1,11.5,2.2,19.4,5.7,20.9,29.5,43.5,7.4,60,56.7,1.4,77.4,13.3,4.2,4.5,2.8,3.4,3.6,division,062,NA,Valley,Nelson County,NA
1,816,2022,15.5,4.5,16.2,16.2,4,31.6,5.5,32.6,44.6,41.8,15.3,28,52,1.4,70.2,19.6,4.1,4.4,2.5,3.5,3.5,division,063,NA,Central Virginia,New Kent County,NA
2,4689,2022,16.7,5.6,11.6,9.7,3.5,18.9,5.9,26.8,45.3,36.7,14.9,33.3,57.8,1.3,69.7,15.3,3.9,4.5,2.9,3.3,3.6,division,117,NA,Tidewater,Newport News City,NA
2,5111,2022,17.3,5.8,15.4,12.7,4.6,21.8,6.4,28,44.1,35.6,15,32.2,58.6,1.5,67.1,16.5,3.9,4.4,3.1,3.4,3.4,division,118,NA,Tidewater,Norfolk City,NA
2,220,2022,19.2,5.1,6.9,15,7.7,28.6,4.5,25.5,42.3,34.5,10.5,43.5,56.5,1.5,65.9,12.3,4.1,4.4,2.6,3.5,3.5,division,065,NA,Tidewater,Northampton County,NA
3,199,2022,19.1,3.1,16.1,14.6,5.5,28.6,4.5,27.1,39.7,45.7,12.6,32,64,1.2,72.4,15.1,4.1,4.6,2.5,3.4,3.9,division,066,NA,Northern Neck,Northumberland County,NA
7,218,2022,14.3,1.6,11.5,14.7,1.4,28.4,2.3,27.5,40.4,50.9,16.5,52.8,66.7,1.4,78.9,15.1,4.8,5.1,1.9,2.8,4.6,division,119,NA,Southwest,Norton City,NA
8,360,2022,19.8,4.1,15.4,16.7,4.2,23.1,10.6,30,48.9,40.8,20.8,45.3,52,1.4,76.1,20.3,4,4.4,2.7,3.5,3.5,division,067,NA,Southside,Nottoway County,NA
4,988,2022,19.2,7.2,21.2,15.5,5.4,23.4,7,34.4,44.5,39.8,15.2,41.3,60.7,1.3,75.9,19.9,4,4.2,2.8,3.7,3.2,division,068,NA,Northern Virginia,Orange County,NA
4,562,2022,16.7,4.3,11.4,23.1,9.8,33.6,8,30.8,42,43.4,17.8,47,59,1.6,74.2,23.5,4.2,4.7,2.4,3.5,3.6,division,069,NA,Northern Virginia,Page County,NA
6,612,2022,16.9,4.8,12.7,20.6,6.9,33,6.5,29.6,43.1,38.7,14.2,35.6,64.4,1.2,74.2,14.7,4,4.4,2.6,3.4,3.5,division,070,NA,Western Virginia,Patrick County,NA
1,421,2022,16.3,8.2,9.8,10.5,4,18.3,6.4,24.5,40.6,34.7,14.5,19.7,70.5,1.8,67.5,11.4,3.5,4.4,3.4,3.7,2.8,division,120,NA,Central Virginia,Petersburg City,NA
6,2206,2022,18.6,4.2,17.5,20.9,8.3,34.4,7.9,35,46.6,39.2,18.9,34.9,62.4,1.4,70.8,16.7,4,4.3,2.8,3.8,3.3,division,071,NA,Western Virginia,Pittsylvania County,NA
2,689,2022,16,4.1,12.5,14.7,4.8,24.8,4.6,31.3,42.2,45.7,13.2,39.6,54.9,0.9,79.4,15.7,4.2,4.5,2.2,3.4,3.7,division,142,NA,Tidewater,Poquoson City,NA
2,1863,2022,16.5,5.8,12.2,11,3.4,22.3,5.9,26.8,46.2,37.5,15.7,31.8,57.5,1.3,71.3,14.4,3.9,4.5,3.1,3.5,3.4,division,121,NA,Tidewater,Portsmouth City,NA
1,803,2022,14.3,4.3,16.6,17.4,4.5,30.6,6.7,34.9,36.2,45.7,12.8,44.7,57.3,0.8,82.7,28.6,4.3,4.5,2.6,3.5,3.7,division,072,NA,Central Virginia,Powhatan County,NA
8,294,2022,19.1,3.6,13.7,13.6,3.7,22.4,3.1,32.3,51.7,36.1,15.6,34.8,63,1.3,64.6,8.8,3.7,4.2,2.9,3.7,3,division,073,NA,Southside,Prince Edward County,NA
1,1036,2022,18.6,6.7,14.9,16,3.7,26.2,6.2,31.9,42.1,37.5,12.6,30.5,64.1,1.2,72.5,19.3,3.9,4.1,2.7,3.8,3.2,division,074,NA,Central Virginia,Prince George County,NA
4,12249,2022,18.3,8.3,12,8.8,2.7,18.2,5.1,26.3,41.9,39.2,12.5,38.2,54.8,1.1,78.3,29.2,4.2,4.5,2.7,3.1,3.9,division,075,NA,Northern Virginia,Prince William County,NA
7,768,2022,20.6,3.6,24.2,24.1,7.6,36.1,8.7,37.2,47,45.4,16,39,48,1.3,69.9,20.6,3.9,4.3,2.7,4,3.2,division,077,NA,Southwest,Pulaski County,NA
7,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,122,NA,Southwest,Radford City,NA
4,155,2022,9.9,1.5,11.6,17.4,5.2,32.3,7.7,28.4,35.5,46.5,11,41.2,58.8,0.5,78.7,29,4.2,4.7,2.3,3.1,4.2,division,078,NA,Northern Virginia,Rappahannock County,NA
3,363,2022,14.2,4.8,5.2,10.5,4.1,22,3.3,23.4,33.9,48.5,8.8,46.9,53.1,1.1,83.7,25.6,4.5,4.8,2,2.9,4.2,division,079,NA,Northern Neck,Richmond County,NA
