region_number,s_num,yr,pct_no_particpate,pct_no_adult,pct_offered_drugs,pct_bullied,pct_bullied_others,pct_cyberbully,pct_cyberbully_others,pct_sexual_comment,pct_sad_activity,pct_sad_adult,pct_consider_sui,pct_asked_help,pct_plan_sui,avg_sui_attempts,pct_tell_adult,pct_sui_training,avg_peer_rel,avg_adult_rel,avg_worry_violence,avg_bully_prob,avg_envi,locality_grouping,division_number,sch_id,region_name,division_name,school_name
NA,219435,2022,15.6,5,12.7,12.3,3.7,21.9,5.6,27.1,39.9,43.6,12.8,39.1,56.3,1.1,75.1,22.9,4.2,4.5,2.5,3.2,3.8,state,NA,NA,NA,NA,NA
NA,183837,2023,19.3,6.3,8.1,25.5,5.5,29,7.8,32.6,33.4,40.5,11,35.6,57.9,2,76.5,14.5,4.3,4.6,2.7,3.4,3.7,state,NA,NA,NA,NA,NA
2,36373,2022,16.5,5,12.7,11.8,3.8,21.9,5.6,28,43.6,39.4,14.5,36.1,56.9,1.2,71.5,18.2,4,4.5,2.8,3.3,3.6,region,NA,NA,Tidewater,NA,NA
5,19531,2022,16.2,4.7,14,14.9,4.1,25.2,5.9,30.6,42.3,44.4,13.6,39.4,56.9,1.1,74.6,17.7,4.2,4.5,2.6,3.4,3.7,region,NA,NA,Valley,NA,NA
4,79484,2022,14.4,5.1,11,9.3,2.9,17.7,5.1,23.6,35.3,45.8,10.6,40.9,53.4,1,77,27.5,4.4,4.6,2.4,3,4,region,NA,NA,Northern Virginia,NA,NA
6,16756,2022,17.2,4.6,15.9,17.2,5.6,29.6,6.9,31.4,44.5,42.5,15.8,39.7,59.8,1.2,74.1,19.9,4.1,4.5,2.6,3.5,3.6,region,NA,NA,Western Virginia,NA,NA
8,5466,2022,17.3,6.1,13.7,18.3,5,27.7,7.1,29.8,43.7,37.5,15.5,36.2,61.6,1.3,72,15.5,3.9,4.3,2.9,3.7,3.2,region,NA,NA,Southside,NA,NA
7,11596,2022,18.9,4.1,17,21.6,5.2,33,5.8,32.8,44.5,46.1,14.5,39.1,59.4,1.2,78.7,18,4.2,4.6,2.5,3.5,3.7,region,NA,NA,Southwest,NA,NA
3,18637,2022,16.6,5.9,15,14.1,4.3,25.3,6.1,32.2,44.5,41.3,14.3,35.5,57.5,1.1,73.5,21.8,4.1,4.4,2.7,3.3,3.6,region,NA,NA,Northern Neck,NA,NA
1,28147,2022,14.6,5.4,12.2,11.2,3.4,20.5,6,26.2,38.3,43.6,12,41.4,55.5,1.2,75.2,23.9,4.2,4.5,2.7,3.2,3.7,region,NA,NA,Central Virginia,NA,NA
1,23258,2023,21.886666666666667,6.453333333333333,9.86,30.106666666666666,7.28,34.07333333333333,9.286666666666667,36.67333333333333,38.913333333333334,39.70666666666666,14.266666666666667,36.78,57.5,2.16,72.79333333333334,14.766666666666667,4.113333333333333,4.48,2.9,3.6533333333333333,3.4466666666666668,region,NA,NA,Central Virginia,NA,NA
2,28723,2023,21.573333333333334,5.64,8.653333333333332,28.76,5.926666666666667,30.413333333333334,8.54,35.833333333333336,36.78,40.79333333333333,13.48,34.333333333333336,61.04,2.046666666666667,75.17333333333333,13.706666666666667,4.113333333333333,4.5200000000000005,2.82,3.5933333333333333,3.506666666666667,region,NA,NA,Tidewater,NA,NA
3,14698,2023,22.45294117647059,6.364705882352942,8.994117647058824,33.15294117647059,8.358823529411765,35.84705882352941,9.552941176470588,36.59411764705882,40.82941176470588,39.523529411764706,13.235294117647058,32.59411764705882,59.93529411764706,2.011764705882353,75.3529411764706,13.111764705882353,4.141176470588236,4.4941176470588236,2.7588235294117647,3.652941176470588,3.476470588235294,region,NA,NA,Northern Neck,NA,NA
4,71497,2023,20.594736842105263,7.036842105263158,7.994736842105263,27.49473684210526,5.91578947368421,30.08421052631579,8.042105263157895,32.73157894736842,34.34736842105263,40.189473684210526,10.952631578947368,35.415789473684214,56.73157894736842,1.9578947368421054,75.70526315789473,14.026315789473685,4.257894736842105,4.6,2.6421052631578945,3.442105263157895,3.7263157894736842,region,NA,NA,Northern Virginia,NA,NA
5,16358,2023,19.9,5.715,9.135,30.825,6.385,32.495,7.76,34.915,35.86,43.525,12.280000000000001,37.325,54.695,1.97,76.995,12.915,4.295,4.64,2.59,3.4050000000000002,3.745,region,NA,NA,Valley,NA,NA
6,13744,2023,21.385714285714286,5.5928571428571425,9.092857142857143,32.042857142857144,7.257142857142857,33.32142857142857,7.757142857142857,34.35,35.42142857142857,43.17142857142857,12.864285714285714,38.528571428571425,54.90714285714286,1.9357142857142857,78.42142857142858,14.685714285714287,4.25,4.685714285714286,2.7214285714285715,3.564285714285714,3.7142857142857144,region,NA,NA,Western Virginia,NA,NA
7,10097,2023,21.910526315789472,5.842105263157895,9.310526315789474,33.04736842105263,6.826315789473684,33.23157894736842,7.242105263157895,35.06315789473684,36.689473684210526,44.72105263157895,13.157894736842104,34.46842105263158,62.694736842105264,1.9789473684210526,78.9578947368421,13.163157894736843,4.352631578947369,4.7631578947368425,2.5578947368421052,3.4,3.857894736842105,region,NA,NA,Southwest,NA,NA
8,3542,2023,23.227272727272727,7.2727272727272725,10.8,34.42727272727273,8.563636363636364,36.02727272727273,9.954545454545455,37.29090909090909,39.71818181818182,39.57272727272727,14.272727272727272,38.481818181818184,64.65454545454546,2.3181818181818183,74.4090909090909,13.290909090909091,4.045454545454545,4.490909090909091,2.9,3.827272727272727,3.4454545454545453,region,NA,NA,Southside,NA,NA
2,919,2022,16.8,7,7.7,14.8,4.2,23.6,4.9,21.3,37.9,36.6,13.2,42.1,64.5,1.4,76.8,14.8,4.1,4.5,2.4,3.4,3.8,division,001,NA,Tidewater,Accomack County,NA
5,2438,2022,15,3.2,13,9.4,2.3,17.7,5.6,30.8,42,47.5,12.6,38.6,51.6,1.1,73.6,16.2,4.4,4.6,2.7,3.1,3.9,division,002,NA,Valley,Albemarle County,NA
4,2543,2022,17.5,5.2,16.6,11,4.6,17.4,6.3,26,38.7,40,11.4,33.9,54.7,1,67.7,17,4.3,4.7,2.9,3.3,3.8,division,101,NA,Northern Virginia,Alexandria City,NA
6,375,2022,23.2,5.9,19.1,18.7,8.3,38.4,6.1,35.5,49.3,40.5,17.9,28.4,64.2,0.9,79.5,16,3.8,4.1,2.7,3.8,3.1,division,003,NA,Western Virginia,Alleghany County,NA
8,350,2022,16.6,3.3,23.9,22.9,5.4,38.6,6.9,36.3,46.3,39.7,13.1,34.8,71.7,1.2,71.4,20.3,4,4.3,2.6,3.7,3.1,division,004,NA,Southside,Amelia County,NA
5,733,2022,19.6,5.5,14.2,19.9,4.6,28.8,6.3,34.2,45.4,38.1,14.6,40.2,68.2,1.2,73.1,14.5,4,4.4,2.7,3.7,3.4,division,005,NA,Valley,Amherst County,NA
8,399,2022,19.6,5.7,8.5,20.3,3.3,22.3,3,27.6,38.8,41.1,12.3,38.8,55.1,0.9,81.7,16.3,4.1,4.4,2.7,3.8,3.3,division,006,NA,Southside,Appomattox County,NA
4,3091,2022,12,3.5,13.5,9.4,3,19.7,6.1,26.3,34.7,49.5,10.6,40.5,55.8,0.9,74.2,31.7,4.5,4.6,2.3,3,4.1,division,007,NA,Northern Virginia,Arlington County,NA
5,1632,2022,17.4,3.9,13.7,19.5,4.7,29.8,6.3,34.3,41.7,46.9,13.1,42.3,54.9,1.1,77.5,16.7,4.2,4.5,2.3,3.3,3.8,division,008,NA,Valley,Augusta County,NA
5,132,2022,21.3,2.8,19.7,21.2,8.3,37.9,7.6,34.1,53.8,56.8,16.7,18.2,59.1,1.1,75,13.6,4.3,4.7,2.2,3.2,3.8,division,009,NA,Valley,Bath County,NA
5,2166,2022,15.3,5.4,13.8,15.5,4.5,24.2,6.2,29.6,40.6,42.4,11,42.3,54.4,1.2,74.1,18.8,4.2,4.4,2.6,3.5,3.4,division,010,NA,Valley,Bedford County,NA
7,59,2022,23.8,0.7,19.6,37.3,0,28.8,1.7,37.3,47.5,57.6,22,23.1,46.2,0.5,81.4,25.4,4.3,4.7,2.3,3.6,3.9,division,011,NA,Southwest,Bland County,NA
6,1243,2022,16.6,3,20.3,18.8,6.5,34.3,7.3,32.3,43,44.2,15.8,41.1,59.9,1.3,74.3,19.4,4.2,4.6,2.2,3.4,3.7,division,012,NA,Western Virginia,Botetourt County,NA
7,322,2022,18.2,2.8,25.2,20.5,5.9,37.3,7.5,44.4,49.4,49.1,17.4,53.6,62.5,1.2,73,23.9,4.2,4.6,2.8,3.7,3.7,division,102,NA,Southwest,Bristol City,NA
8,257,2022,10.9,5.3,11.5,15.2,4.3,31.9,10.5,31.9,43.2,37,18.3,21.3,63.8,1.4,68.1,17.5,3.8,4.5,2.5,3.5,3.5,division,013,NA,Southside,Brunswick County,NA
7,489,2022,15.8,4.7,12.9,14.1,5.3,27,8.6,21.5,36.6,44.2,11,37,59.3,1.5,81,20.7,4.4,4.7,2.2,2.9,4,division,014,NA,Southwest,Buchanan County,NA
8,335,2022,15,5,12,17.3,3.9,31.3,6.3,27.2,36.4,43,10.1,50,64.7,1,73.7,11.9,3.9,4.4,3,3.7,3.2,division,015,NA,Southside,Buckingham County,NA
5,183,2022,14.7,2,8.7,20.8,5.5,32.8,6.6,38.3,43.7,49.7,13.7,36,60,1.6,74.3,10.4,4.3,4.8,2.2,3.5,4,division,103,NA,Valley,Buena Vista City,NA
5,1755,2022,16,4.3,11.4,17.8,3.4,28.3,4.9,32.5,40.9,47,12.3,43.7,51.6,1,81.9,24.4,4.2,4.5,2.4,3.5,3.7,division,016,NA,Valley,Campbell County,NA
3,1033,2022,18.8,8,15.7,15.6,6,31,7.6,32.6,47.2,38.5,12.3,32.3,53.5,1.4,72.7,21.4,3.9,4.1,3.1,3.7,3.1,division,017,NA,Northern Neck,Caroline County,NA
7,737,2022,18.5,7.1,17.4,22.4,6.1,34.6,6.4,34.6,40.2,44.6,11.1,29.3,53.7,1.1,77.1,15.2,4.1,4.5,2.6,3.8,3.4,division,018,NA,Southwest,Carroll County,NA
1,123,2022,12.3,7.1,16.7,29.3,8.1,35.8,17.1,32.5,44.7,35,19.5,20.8,66.7,1.4,65.9,23.6,3.7,4.1,2.9,4.1,3.1,division,019,NA,Central Virginia,Charles City County,NA
8,375,2022,18.7,3.9,14.5,20,5.9,32,8.3,30.7,39.7,43.2,14.1,39.6,58.5,1.4,78.1,22.1,4,4.6,2.4,3.5,3.6,division,020,NA,Southside,Charlotte County,NA
5,904,2022,12.2,4.1,15.2,10.2,2.2,21.5,4.4,29.3,42.7,50.4,12.2,36.4,60,0.9,72.2,25.2,4.3,4.5,2.7,3.2,3.7,division,104,NA,Valley,Charlottesville City,NA
2,9166,2022,16.6,4.1,12.6,11.3,3.1,21.1,4.8,27.8,40.8,42,13.2,37.4,55.5,1.1,72.4,20.6,4.1,4.5,2.7,3.3,3.8,division,136,NA,Tidewater,Chesapeake City,NA
1,10372,2022,14.2,5.9,11.8,9.7,2.8,17.7,5.2,24.4,37.2,44.9,10.4,46.8,54.2,1.2,76.8,23.3,4.2,4.5,2.6,3.1,3.8,division,021,NA,Central Virginia,Chesterfield County,NA
4,514,2022,16.3,3.7,16.2,13.8,6.6,24.9,7,31.9,38.1,41.2,10.9,44.6,50,1,70.4,13.4,4.3,4.5,2.5,3.3,3.7,division,022,NA,Northern Virginia,Clarke County,NA
1,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,106,NA,Central Virginia,Colonial Heights City,NA
6,175,2022,15.9,3.8,11.4,18.3,8.6,33.1,5.7,32,37.7,50.9,12,33.3,76.2,1.4,76.6,16,4.1,4.6,2.5,3.5,3.6,division,107,NA,Western Virginia,Covington City,NA
6,128,2022,13,4.3,7.8,18.8,3.9,35.2,4.7,22.7,41.4,35.9,13.3,29.4,70.6,1.1,73.4,17.2,4.4,4.6,2,3.3,3.7,division,023,NA,Western Virginia,Craig County,NA
4,2099,2022,20.8,7,17.9,17.9,5,27.3,7.1,32.3,42.4,37.2,14.2,35.1,55.2,1.2,70.3,16.3,3.9,4.2,3.2,3.7,3.2,division,024,NA,Northern Virginia,Culpeper County,NA
8,253,2022,17.8,3,17.9,30,8.3,39.5,8.3,40.3,56.5,44.7,23.7,43.3,60,1.3,72.3,20.2,3.9,4.5,3,3.6,3.5,division,025,NA,Southside,Cumberland County,NA
6,1179,2022,15.6,6.6,10.2,12.3,4,25.1,6.6,23.2,45.7,34.2,16.6,39.3,63.3,1.6,69.7,15.5,3.7,4.3,2.9,3.4,3.2,division,108,NA,Western Virginia,Danville City,NA
7,412,2022,22.4,5.6,14.9,20.6,2.9,36.4,6.3,31.3,46.4,46.4,15.8,52.3,66.2,1.2,80.8,20.6,4.3,4.4,2.5,3.7,3.5,division,026,NA,Southwest,Dickenson County,NA
1,878,2022,19.9,5.3,16,18.9,5.1,31.7,9.7,32.9,46,40.5,16.5,37.2,60.7,1.1,70.3,16.7,3.8,4.2,2.8,3.7,3.2,division,027,NA,Central Virginia,Dinwiddie County,NA
3,241,2022,15.8,3.8,10.4,18.3,6.6,27.4,5.8,33.2,43.6,39,13.3,31.2,65.6,1.2,70.1,13.7,4,4.4,2.6,3.6,3.4,division,028,NA,Northern Neck,Essex County,NA
4,34331,2022,12.2,4.8,9.2,6.9,2.3,14.4,4.6,19,30.5,48.6,9.5,42.9,52.3,1,77.2,28.3,4.5,4.6,2.2,2.9,4.1,division,029,NA,Northern Virginia,Fairfax County,NA
4,546,2022,14.4,2,8.1,10.4,2.9,17.2,5.1,22.9,36.3,48.7,11.2,44.3,49.2,0.9,72,18.5,4.6,4.7,1.7,2.8,4.3,division,109,NA,Northern Virginia,Falls Church City,NA
4,2709,2022,16.7,4.8,16.5,17.1,5.5,26.4,6.3,31.3,41.2,39.6,14,38.8,57,1.2,74.2,25.7,4.2,4.4,2.5,3.3,3.8,division,030,NA,Northern Virginia,Fauquier County,NA
6,475,2022,19.4,4.1,19.9,20.4,7.8,37.5,6.9,32.2,50.7,39.6,19.8,33,55.3,1.2,65.3,18.5,4.1,4.3,2.2,3.5,3.6,division,031,NA,Western Virginia,Floyd County,NA
5,820,2022,13.2,4,18.1,15.4,3.7,27.2,5.5,31.3,45.4,41.6,15.9,37.7,50,0.9,78.4,16.6,4,4.4,3,3.6,3.4,division,032,NA,Valley,Fluvanna County,NA
6,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,033,NA,Western Virginia,Franklin County,NA
2,230,2022,12.7,2.4,6.7,10,3.9,26.1,3.5,21.7,41.7,33.9,11.3,57.7,46.2,1.1,70,13.9,3.9,4.5,2.3,3,3.7,division,135,NA,Tidewater,Franklin City,NA
4,2444,2022,19.7,5.9,14.5,15,3.9,26,5.8,33.9,44.6,40.7,14.4,34.6,55,1.2,72.7,18.6,4.2,4.5,2.5,3.4,3.7,division,034,NA,Northern Virginia,Frederick County,NA
3,NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,division,110,NA,Northern Neck,Fredericksburg City,NA
