school_name,sch_id
Staunton River High,0101190
Staunton River Middle,0101191
Stewartsville Elementary,0100640
Susie G. Gibson Science and Technology Center,0100010
Suspension Services,0109992
Thomas Jefferson Elementary,0101213
Bland County Elementary,0110250
Bland County High,0110260
Community PK School,0119990
Home Educational Services,0119991
Homebased,0119999
Homebound,0119998
Special Situation Schools,0118888
Suspension Services,0119992
Botetourt Technical Education Center,0120010
Breckinridge Elementary,0120220
Buchanan Elementary,0120020
Central Academy Middle,0120420
Cloverdale Elementary,0120390
Colonial Elementary,0120400
Community PK School,0129990
Eagle Rock Elementary,0120030
Greenfield Elementary,0120460
Home Educational Services,0129991
Homebased,0129999
Homebound,0129998
James River High,0120430
Local or Regional Jail,0129997
Lord Botetourt High,0120440
Read Mountain Middle,0120450
Special Situation Schools,0128888
Suspension Services,0129992
Troutville Elementary,0120040
Virtual Academy,0120500
Community PK School,1029990
Day Treatment Program,1020201
Home Educational Services,1029991
Homebased,1029999
Homebound,1029998
Local or Regional Jail,1029997
Special Situation Schools,1028888
Suspension Services,1029992
Virginia High,1020080
Virginia Intermediate School,1020202
Virginia Middle,1020010
Virginia Primary School,1020200
Brunswick High,0130650
Community PK School,0139990
Home Educational Services,0139991
Homebased,0139999
Homebound,0139998
James S. Russell Middle,0130660
Local or Regional Jail,0139997
Meherrin Powellton Elementary,0130690
Red Oak-Sturgeon Elementary,0130700
Special Situation Schools,0138888
Suspension Services,0139992
Totaro Elementary,0130720
Buchanan County Technology,0141030
Community PK School,0149990
Council Elementary/Middle,0140090
Council High,0141000
Grundy High,0140990
Home Educational Services,0149991
Homebased,0149999
Homebound,0149998
Hurley Elementary/Middle,0140120
Hurley High,0141020
Local Or Regional Jail,0149997
Riverview Elementary/Middle,0141040
Special Situation Schools,0148888
Suspension Services,0149992
Twin Valley Elementary/Middle,0141041
Twin Valley High,0141042
Buckingham Co Elementary,0150724
Buckingham Co Prekindergarten Center,0150020
Buckingham Co Primary,0150723
Buckingham County High,0150700
Buckingham County Middle,0150721
Community PK School,0159990
Home Educational Services,0159991
Homebased,0159999
Homebound,0159998
Special Situation Schools,0158888
Suspension Services,0159992
Community PK School,1039990
Enderly Heights Elementary,1030040
F.W. Kling Jr. Elementary,1030070
Home Educational Services,1039991
Homebased,1039999
Homebound,1039998
Parry McCluer High,1030062
Parry McCluer Middle,1030061
Special Situation Schools,1038888
Suspension Services,1039992
Altavista Elementary,0160560
Altavista High,0160200
Brookneal Elementary,0160650
Brookville High,0160720
Brookville Middle,0160020
Campbell County Technical Center,0160030
Community PK School,0169990
Concord Elementary,0160130
Cornerstone Learning Center,0160822
Home Educational Services,0169991
Homebased,0169999
