school_year,division_number,division_name,school_number,school_name,sanction_code,sanction_description,n_sanctions,n_students_sanctioned,locality_grouping,region_name,region_number
2021-2022,2,Albemarle County,1051,Lakeside Middle,SBP,Suspension of Bus Privileges,1,1,school,Valley,5
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,CR,Class Removal (less than 1/2 day),15,10,school,Valley,5
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,ISS,In-School Suspension (1/2 day or more),80,45,school,Valley,5
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,LOP,Loss of School Privileges or Participation in Extr,11,7,school,Valley,5
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,OSS,Out of school suspension by Division Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,OSS,Out of school suspension by School Admin,10,9,school,Valley,5
2021-2022,2,Albemarle County,20,Leslie H. Walton Middle,SBP,Suspension of Bus Privileges,2,2,school,Valley,5
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,ISS,In-School Suspension (1/2 day or more),10,8,school,Valley,5
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Valley,5
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,OSS,Out of school suspension by School Admin,7,6,school,Valley,5
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,SBCS,School-based Community Service Assigned,1,1,school,Valley,5
2021-2022,2,Albemarle County,40,Mary Carr Greer Elementary,SBP,Suspension of Bus Privileges,5,4,school,Valley,5
2021-2022,2,Albemarle County,1052,Monticello High,CR,Class Removal (less than 1/2 day),53,42,school,Valley,5
2021-2022,2,Albemarle County,1052,Monticello High,ISS,In-School Suspension (1/2 day or more),74,56,school,Valley,5
2021-2022,2,Albemarle County,1052,Monticello High,LOP,Loss of School Privileges or Participation in Extr,5,4,school,Valley,5
2021-2022,2,Albemarle County,1052,Monticello High,OSS,Out of school suspension by Division Admin,8,6,school,Valley,5
2021-2022,2,Albemarle County,1052,Monticello High,OSS,Out of school suspension by School Admin,58,47,school,Valley,5
2021-2022,2,Albemarle County,1052,Monticello High,SBP,Suspension of Bus Privileges,2,2,school,Valley,5
2021-2022,2,Albemarle County,150,Mountain View Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Valley,5
2021-2022,2,Albemarle County,150,Mountain View Elementary,OSS,Out of school suspension by School Admin,6,4,school,Valley,5
2021-2022,2,Albemarle County,30,Scottsville Elementary,CR,Class Removal (less than 1/2 day),7,7,school,Valley,5
2021-2022,2,Albemarle County,30,Scottsville Elementary,ISS,In-School Suspension (1/2 day or more),17,15,school,Valley,5
2021-2022,2,Albemarle County,30,Scottsville Elementary,OSS,Out of school suspension by School Admin,3,3,school,Valley,5
2021-2022,2,Albemarle County,30,Scottsville Elementary,SBP,Suspension of Bus Privileges,8,5,school,Valley,5
2021-2022,2,Albemarle County,240,Stony Point Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Valley,5
2021-2022,2,Albemarle County,240,Stony Point Elementary,ISS,In-School Suspension (1/2 day or more),4,4,school,Valley,5
2021-2022,2,Albemarle County,240,Stony Point Elementary,OSS,Out of school suspension by School Admin,2,2,school,Valley,5
2021-2022,2,Albemarle County,910,Virginia L. Murray Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,Valley,5
2021-2022,2,Albemarle County,910,Virginia L. Murray Elementary,OSS,Out of school suspension by School Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,140,Western Albemarle High,CR,Class Removal (less than 1/2 day),7,7,school,Valley,5
2021-2022,2,Albemarle County,140,Western Albemarle High,DS,Detention Sanction Outside of Regular School Hours,4,4,school,Valley,5
2021-2022,2,Albemarle County,140,Western Albemarle High,ISS,In-School Suspension (1/2 day or more),41,22,school,Valley,5
2021-2022,2,Albemarle County,140,Western Albemarle High,LOP,Loss of School Privileges or Participation in Extr,2,2,school,Valley,5
2021-2022,2,Albemarle County,140,Western Albemarle High,OSS,Out of school suspension by Division Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,140,Western Albemarle High,OSS,Out of school suspension by School Admin,15,10,school,Valley,5
2021-2022,2,Albemarle County,140,Western Albemarle High,SBP,Suspension of Bus Privileges,2,2,school,Valley,5
2021-2022,2,Albemarle County,930,Woodbrook Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Valley,5
2021-2022,2,Albemarle County,930,Woodbrook Elementary,ISS,In-School Suspension (1/2 day or more),9,7,school,Valley,5
2021-2022,2,Albemarle County,930,Woodbrook Elementary,OSS,Out of school suspension by Division Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,930,Woodbrook Elementary,OSS,Out of school suspension by School Admin,11,7,school,Valley,5
2021-2022,2,Albemarle County,NA,NA,CR,Class Removal (less than 1/2 day),289,210,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,111,65,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,ISS,In-School Suspension (1/2 day or more),744,494,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,91,67,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,OSS,Out of school suspension by Division Admin,15,13,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,OSS,Out of school suspension by School Admin,411,285,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,OSS,Out of school suspension by School Board,2,2,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,SBCS,School-based Community Service Assigned,3,3,division,Valley,5
2021-2022,2,Albemarle County,NA,NA,SBP,Suspension of Bus Privileges,38,30,division,Valley,5
2021-2022,101,Alexandria City,210,Alexandria City High,CR,Class Removal (less than 1/2 day),1,1,school,NA,NA
2021-2022,101,Alexandria City,210,Alexandria City High,DS,Detention Sanction Outside of Regular School Hours,1,1,school,NA,NA
2021-2022,101,Alexandria City,210,Alexandria City High,ISS,In-School Suspension (1/2 day or more),76,62,school,NA,NA
2021-2022,101,Alexandria City,210,Alexandria City High,LOP,Loss of School Privileges or Participation in Extr,5,5,school,NA,NA
2021-2022,101,Alexandria City,210,Alexandria City High,OSS,Out of school suspension by Division Admin,6,6,school,NA,NA
2021-2022,101,Alexandria City,210,Alexandria City High,OSS,Out of school suspension by School Admin,158,126,school,NA,NA
2021-2022,101,Alexandria City,210,Alexandria City High,SBP,Suspension of Bus Privileges,1,1,school,NA,NA
2021-2022,101,Alexandria City,120,Charles Barrett Elementary,CR,Class Removal (less than 1/2 day),8,6,school,NA,NA
2021-2022,101,Alexandria City,120,Charles Barrett Elementary,DS,Detention Sanction Outside of Regular School Hours,1,1,school,NA,NA
2021-2022,101,Alexandria City,120,Charles Barrett Elementary,ISS,In-School Suspension (1/2 day or more),6,6,school,NA,NA
2021-2022,101,Alexandria City,120,Charles Barrett Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,NA,NA
2021-2022,101,Alexandria City,120,Charles Barrett Elementary,OSS,Out of school suspension by School Admin,1,1,school,NA,NA
2021-2022,101,Alexandria City,160,Cora Kelly School for Math Science and Technology,OSS,Out of school suspension by School Admin,7,5,school,NA,NA
2021-2022,101,Alexandria City,110,Douglas Macarthur Elementary,OSS,Out of school suspension by School Admin,4,3,school,NA,NA
2021-2022,101,Alexandria City,350,Ferdinand T. Day Elementary,LOP,Loss of School Privileges or Participation in Extr,8,6,school,NA,NA
2021-2022,101,Alexandria City,350,Ferdinand T. Day Elementary,OSS,Out of school suspension by School Admin,1,1,school,NA,NA
2021-2022,101,Alexandria City,350,Ferdinand T. Day Elementary,SBP,Suspension of Bus Privileges,1,1,school,NA,NA
2021-2022,101,Alexandria City,140,Francis C. Hammond Middle,ISS,In-School Suspension (1/2 day or more),8,6,school,NA,NA
2021-2022,101,Alexandria City,140,Francis C. Hammond Middle,OSS,Out of school suspension by Division Admin,10,10,school,NA,NA
2021-2022,101,Alexandria City,140,Francis C. Hammond Middle,OSS,Out of school suspension by School Admin,58,46,school,NA,NA
2021-2022,101,Alexandria City,140,Francis C. Hammond Middle,SBP,Suspension of Bus Privileges,1,1,school,NA,NA
2021-2022,101,Alexandria City,100,George Mason Elementary,OSS,Out of school suspension by School Admin,4,1,school,NA,NA
2021-2022,101,Alexandria City,130,George Washington Middle,DS,Detention Sanction Outside of Regular School Hours,74,63,school,NA,NA
2021-2022,101,Alexandria City,130,George Washington Middle,ISS,In-School Suspension (1/2 day or more),92,74,school,NA,NA
2021-2022,101,Alexandria City,130,George Washington Middle,LOP,Loss of School Privileges or Participation in Extr,4,3,school,NA,NA
2021-2022,101,Alexandria City,130,George Washington Middle,OSS,Out of school suspension by Division Admin,2,2,school,NA,NA
2021-2022,101,Alexandria City,130,George Washington Middle,OSS,Out of school suspension by School Admin,147,86,school,NA,NA
2021-2022,101,Alexandria City,220,James K. Polk Elementary,OSS,Out of school suspension by School Admin,3,2,school,NA,NA
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,CR,Class Removal (less than 1/2 day),2,2,school,NA,NA
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,ISS,In-School Suspension (1/2 day or more),3,3,school,NA,NA
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,LOP,Loss of School Privileges or Participation in Extr,1,1,school,NA,NA
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,OSS,Out of school suspension by Division Admin,1,1,school,NA,NA
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,OSS,Out of school suspension by School Admin,30,21,school,NA,NA
2021-2022,101,Alexandria City,90,Jefferson-Houston PK-8 School,SBP,Suspension of Bus Privileges,1,1,school,NA,NA
2021-2022,101,Alexandria City,230,John Adams Elementary,CR,Class Removal (less than 1/2 day),13,7,school,NA,NA
2021-2022,101,Alexandria City,230,John Adams Elementary,ISS,In-School Suspension (1/2 day or more),12,11,school,NA,NA
2021-2022,101,Alexandria City,230,John Adams Elementary,LOP,Loss of School Privileges or Participation in Extr,11,10,school,NA,NA
2021-2022,101,Alexandria City,230,John Adams Elementary,OSS,Out of school suspension by School Admin,12,9,school,NA,NA
2021-2022,101,Alexandria City,230,John Adams Elementary,SBCS,School-based Community Service Assigned,1,1,school,NA,NA
2021-2022,101,Alexandria City,230,John Adams Elementary,SBP,Suspension of Bus Privileges,2,2,school,NA,NA
2021-2022,101,Alexandria City,80,Lyles-Crouch Elementary,CR,Class Removal (less than 1/2 day),1,1,school,NA,NA
2021-2022,101,Alexandria City,80,Lyles-Crouch Elementary,ISS,In-School Suspension (1/2 day or more),3,3,school,NA,NA
2021-2022,101,Alexandria City,80,Lyles-Crouch Elementary,OSS,Out of school suspension by School Admin,11,7,school,NA,NA
2021-2022,101,Alexandria City,60,Naomi L. Brooks Elementary,CR,Class Removal (less than 1/2 day),1,1,school,NA,NA
2021-2022,101,Alexandria City,60,Naomi L. Brooks Elementary,LOP,Loss of School Privileges or Participation in Extr,2,2,school,NA,NA
2021-2022,101,Alexandria City,60,Naomi L. Brooks Elementary,SBP,Suspension of Bus Privileges,1,1,school,NA,NA
2021-2022,101,Alexandria City,50,Patrick Henry K-8 School,OSS,Out of school suspension by School Admin,8,6,school,NA,NA
2021-2022,101,Alexandria City,333,Samuel W. Tucker Elementary,CR,Class Removal (less than 1/2 day),4,2,school,NA,NA
2021-2022,101,Alexandria City,333,Samuel W. Tucker Elementary,OSS,Out of school suspension by School Admin,4,3,school,NA,NA
2021-2022,101,Alexandria City,190,William Ramsay Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,NA,NA
2021-2022,101,Alexandria City,190,William Ramsay Elementary,OSS,Out of school suspension by School Admin,4,2,school,NA,NA
2021-2022,101,Alexandria City,NA,NA,CR,Class Removal (less than 1/2 day),30,20,division,NA,NA
2021-2022,101,Alexandria City,NA,NA,DS,Detention Sanction Outside of Regular School Hours,76,65,division,NA,NA
2021-2022,101,Alexandria City,NA,NA,ISS,In-School Suspension (1/2 day or more),201,166,division,NA,NA
2021-2022,101,Alexandria City,NA,NA,LOP,Loss of School Privileges or Participation in Extr,32,28,division,NA,NA
2021-2022,101,Alexandria City,NA,NA,OSS,Out of school suspension by Division Admin,19,19,division,NA,NA
2021-2022,101,Alexandria City,NA,NA,OSS,Out of school suspension by School Admin,452,319,division,NA,NA
2021-2022,101,Alexandria City,NA,NA,SBCS,School-based Community Service Assigned,1,1,division,NA,NA
2021-2022,101,Alexandria City,NA,NA,SBP,Suspension of Bus Privileges,7,7,division,NA,NA
2021-2022,3,Alleghany County,310,Alleghany High,CR,Class Removal (less than 1/2 day),44,34,school,NA,NA
2021-2022,3,Alleghany County,310,Alleghany High,DS,Detention Sanction Outside of Regular School Hours,122,80,school,NA,NA
2021-2022,3,Alleghany County,310,Alleghany High,ISS,In-School Suspension (1/2 day or more),82,57,school,NA,NA
2021-2022,3,Alleghany County,310,Alleghany High,OSS,Out of school suspension,1,1,school,NA,NA
2021-2022,3,Alleghany County,310,Alleghany High,OSS,Out of school suspension by School Admin,90,64,school,NA,NA
2021-2022,3,Alleghany County,310,Alleghany High,SBP,Suspension of Bus Privileges,4,3,school,NA,NA
2021-2022,3,Alleghany County,110,Callaghan Elementary,CR,Class Removal (less than 1/2 day),1,1,school,NA,NA
2021-2022,3,Alleghany County,110,Callaghan Elementary,DS,Detention Sanction Outside of Regular School Hours,17,11,school,NA,NA
2021-2022,3,Alleghany County,110,Callaghan Elementary,OSS,Out of school suspension by Division Admin,1,1,school,NA,NA
2021-2022,3,Alleghany County,110,Callaghan Elementary,SBP,Suspension of Bus Privileges,5,4,school,NA,NA
2021-2022,3,Alleghany County,1040,Clifton Middle,CR,Class Removal (less than 1/2 day),53,36,school,NA,NA
2021-2022,3,Alleghany County,1040,Clifton Middle,DS,Detention Sanction Outside of Regular School Hours,46,29,school,NA,NA
2021-2022,3,Alleghany County,1040,Clifton Middle,ISS,In-School Suspension (1/2 day or more),26,15,school,NA,NA
2021-2022,3,Alleghany County,1040,Clifton Middle,LOP,Loss of School Privileges or Participation in Extr,1,1,school,NA,NA
2021-2022,3,Alleghany County,1040,Clifton Middle,OSS,Out of school suspension by School Admin,88,59,school,NA,NA
2021-2022,3,Alleghany County,1040,Clifton Middle,SBP,Suspension of Bus Privileges,8,8,school,NA,NA
2021-2022,3,Alleghany County,1041,Mountain View Elementary,CR,Class Removal (less than 1/2 day),59,34,school,NA,NA
2021-2022,3,Alleghany County,1041,Mountain View Elementary,ISS,In-School Suspension (1/2 day or more),27,21,school,NA,NA
2021-2022,3,Alleghany County,1041,Mountain View Elementary,LOP,Loss of School Privileges or Participation in Extr,5,5,school,NA,NA
2021-2022,3,Alleghany County,1041,Mountain View Elementary,OSS,Out of school suspension by School Admin,24,20,school,NA,NA
2021-2022,3,Alleghany County,1041,Mountain View Elementary,SBP,Suspension of Bus Privileges,17,16,school,NA,NA
2021-2022,3,Alleghany County,NA,NA,CR,Class Removal (less than 1/2 day),157,105,division,NA,NA
2021-2022,3,Alleghany County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,185,120,division,NA,NA
2021-2022,3,Alleghany County,NA,NA,ISS,In-School Suspension (1/2 day or more),135,93,division,NA,NA
2021-2022,3,Alleghany County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,6,6,division,NA,NA
2021-2022,3,Alleghany County,NA,NA,OSS,Out of school suspension,1,1,division,NA,NA
2021-2022,3,Alleghany County,NA,NA,OSS,Out of school suspension by Division Admin,1,1,division,NA,NA
2021-2022,3,Alleghany County,NA,NA,OSS,Out of school suspension by School Admin,202,143,division,NA,NA
2021-2022,3,Alleghany County,NA,NA,SBP,Suspension of Bus Privileges,34,31,division,NA,NA
2021-2022,4,Amelia County,220,Amelia County Elementary,CR,Class Removal (less than 1/2 day),115,52,school,NA,NA
2021-2022,4,Amelia County,220,Amelia County Elementary,ISS,In-School Suspension (1/2 day or more),115,58,school,NA,NA
2021-2022,4,Amelia County,220,Amelia County Elementary,LOP,Loss of School Privileges or Participation in Extr,3,3,school,NA,NA
2021-2022,4,Amelia County,220,Amelia County Elementary,OSS,Out of school suspension by School Admin,89,38,school,NA,NA
2021-2022,4,Amelia County,220,Amelia County Elementary,SBP,Suspension of Bus Privileges,16,12,school,NA,NA
2021-2022,4,Amelia County,10,Amelia County High,CR,Class Removal (less than 1/2 day),209,80,school,NA,NA
2021-2022,4,Amelia County,10,Amelia County High,ISS,In-School Suspension (1/2 day or more),127,67,school,NA,NA
2021-2022,4,Amelia County,10,Amelia County High,OSS,Out of school suspension by School Admin,150,83,school,NA,NA
2021-2022,4,Amelia County,10,Amelia County High,SBP,Suspension of Bus Privileges,15,11,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,ALT,Alternative Program Placement,1,1,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,CR,Class Removal (less than 1/2 day),25,22,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,ISS,In-School Suspension (1/2 day or more),195,101,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,LOP,Loss of School Privileges or Participation in Extr,12,12,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,OSS,Out of school suspension by Division Admin,1,1,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,OSS,Out of school suspension by School Admin,187,88,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,SBCS,School-based Community Service Assigned,1,1,school,NA,NA
2021-2022,4,Amelia County,210,Amelia County Middle,SBP,Suspension of Bus Privileges,16,13,school,NA,NA
2021-2022,4,Amelia County,NA,NA,ALT,Alternative Program Placement,1,1,division,NA,NA
