school_year,division_number,division_name,school_number,school_name,sanction_code,sanction_description,n_sanctions,n_students_sanctioned,locality_grouping,region_name,region_number
2021-2022,1,Accomack County,701,Accawmacke Elementary,ISS,In-School Suspension (1/2 day or more),42,28,school,Tidewater,2
2021-2022,1,Accomack County,701,Accawmacke Elementary,OSS,Out of school suspension by School Admin,24,13,school,Tidewater,2
2021-2022,1,Accomack County,701,Accawmacke Elementary,SBP,Suspension of Bus Privileges,14,13,school,Tidewater,2
2021-2022,1,Accomack County,540,Arcadia High,CR,Class Removal (less than 1/2 day),1,1,school,Tidewater,2
2021-2022,1,Accomack County,540,Arcadia High,ISS,In-School Suspension (1/2 day or more),154,76,school,Tidewater,2
2021-2022,1,Accomack County,540,Arcadia High,OSS,Out of school suspension by School Admin,151,74,school,Tidewater,2
2021-2022,1,Accomack County,540,Arcadia High,SBP,Suspension of Bus Privileges,24,19,school,Tidewater,2
2021-2022,1,Accomack County,704,Arcadia Middle,CR,Class Removal (less than 1/2 day),1,1,school,Tidewater,2
2021-2022,1,Accomack County,704,Arcadia Middle,ISS,In-School Suspension (1/2 day or more),321,141,school,Tidewater,2
2021-2022,1,Accomack County,704,Arcadia Middle,OSS,Out of school suspension by Division Admin,1,1,school,Tidewater,2
2021-2022,1,Accomack County,704,Arcadia Middle,OSS,Out of school suspension by School Admin,168,86,school,Tidewater,2
2021-2022,1,Accomack County,704,Arcadia Middle,SBP,Suspension of Bus Privileges,57,38,school,Tidewater,2
2021-2022,1,Accomack County,80,Chincoteague Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Tidewater,2
2021-2022,1,Accomack County,80,Chincoteague Elementary,ISS,In-School Suspension (1/2 day or more),31,21,school,Tidewater,2
2021-2022,1,Accomack County,80,Chincoteague Elementary,OSS,Out of school suspension by School Admin,31,16,school,Tidewater,2
2021-2022,1,Accomack County,80,Chincoteague Elementary,SBP,Suspension of Bus Privileges,6,6,school,Tidewater,2
2021-2022,1,Accomack County,580,Chincoteague High,CR,Class Removal (less than 1/2 day),22,18,school,Tidewater,2
2021-2022,1,Accomack County,580,Chincoteague High,ISS,In-School Suspension (1/2 day or more),196,71,school,Tidewater,2
2021-2022,1,Accomack County,580,Chincoteague High,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Tidewater,2
2021-2022,1,Accomack County,580,Chincoteague High,OSS,Out of school suspension by Division Admin,1,1,school,Tidewater,2
2021-2022,1,Accomack County,580,Chincoteague High,OSS,Out of school suspension by School Admin,60,42,school,Tidewater,2
2021-2022,1,Accomack County,580,Chincoteague High,SBP,Suspension of Bus Privileges,15,8,school,Tidewater,2
2021-2022,1,Accomack County,600,Kegotank Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Tidewater,2
2021-2022,1,Accomack County,600,Kegotank Elementary,ISS,In-School Suspension (1/2 day or more),87,64,school,Tidewater,2
2021-2022,1,Accomack County,600,Kegotank Elementary,OSS,Out of school suspension by School Admin,95,59,school,Tidewater,2
2021-2022,1,Accomack County,600,Kegotank Elementary,SBP,Suspension of Bus Privileges,30,26,school,Tidewater,2
2021-2022,1,Accomack County,702,Metompkin Elementary,CR,Class Removal (less than 1/2 day),7,6,school,Tidewater,2
2021-2022,1,Accomack County,702,Metompkin Elementary,ISS,In-School Suspension (1/2 day or more),139,70,school,Tidewater,2
2021-2022,1,Accomack County,702,Metompkin Elementary,OSS,Out of school suspension by School Admin,81,36,school,Tidewater,2
2021-2022,1,Accomack County,702,Metompkin Elementary,SBP,Suspension of Bus Privileges,51,35,school,Tidewater,2
2021-2022,1,Accomack County,70,Nandua High,CR,Class Removal (less than 1/2 day),11,10,school,Tidewater,2
2021-2022,1,Accomack County,70,Nandua High,ISS,In-School Suspension (1/2 day or more),211,107,school,Tidewater,2
2021-2022,1,Accomack County,70,Nandua High,OSS,Out of school suspension by Division Admin,3,2,school,Tidewater,2
2021-2022,1,Accomack County,70,Nandua High,OSS,Out of school suspension by School Admin,90,57,school,Tidewater,2
2021-2022,1,Accomack County,70,Nandua High,SBP,Suspension of Bus Privileges,3,3,school,Tidewater,2
2021-2022,1,Accomack County,703,Nandua Middle,CR,Class Removal (less than 1/2 day),4,4,school,Tidewater,2
2021-2022,1,Accomack County,703,Nandua Middle,ISS,In-School Suspension (1/2 day or more),212,89,school,Tidewater,2
2021-2022,1,Accomack County,703,Nandua Middle,OSS,Out of school suspension by Division Admin,2,2,school,Tidewater,2
2021-2022,1,Accomack County,703,Nandua Middle,OSS,Out of school suspension by School Admin,203,86,school,Tidewater,2
2021-2022,1,Accomack County,703,Nandua Middle,SBP,Suspension of Bus Privileges,42,28,school,Tidewater,2
2021-2022,1,Accomack County,590,Pungoteague Elementary,CR,Class Removal (less than 1/2 day),5,5,school,Tidewater,2
2021-2022,1,Accomack County,590,Pungoteague Elementary,ISS,In-School Suspension (1/2 day or more),85,50,school,Tidewater,2
2021-2022,1,Accomack County,590,Pungoteague Elementary,OSS,Out of school suspension by School Admin,20,8,school,Tidewater,2
2021-2022,1,Accomack County,590,Pungoteague Elementary,SBP,Suspension of Bus Privileges,26,18,school,Tidewater,2
2021-2022,1,Accomack County,530,Tangier Combined,ISS,In-School Suspension (1/2 day or more),5,5,school,Tidewater,2
2021-2022,1,Accomack County,530,Tangier Combined,OSS,Out of school suspension by School Admin,3,3,school,Tidewater,2
2021-2022,1,Accomack County,NA,NA,CR,Class Removal (less than 1/2 day),53,47,division,Tidewater,2
2021-2022,1,Accomack County,NA,NA,ISS,In-School Suspension (1/2 day or more),1483,722,division,Tidewater,2
2021-2022,1,Accomack County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,1,1,division,Tidewater,2
2021-2022,1,Accomack County,NA,NA,OSS,Out of school suspension by Division Admin,7,6,division,Tidewater,2
2021-2022,1,Accomack County,NA,NA,OSS,Out of school suspension by School Admin,926,480,division,Tidewater,2
2021-2022,1,Accomack County,NA,NA,SBP,Suspension of Bus Privileges,268,194,division,Tidewater,2
2021-2022,2,Albemarle County,160,Agnor-Hurt Elementary,OSS,Out of school suspension by School Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,880,Albemarle High,CR,Class Removal (less than 1/2 day),105,78,school,Valley,5
2021-2022,2,Albemarle County,880,Albemarle High,DS,Detention Sanction Outside of Regular School Hours,4,4,school,Valley,5
2021-2022,2,Albemarle County,880,Albemarle High,ISS,In-School Suspension (1/2 day or more),205,134,school,Valley,5
2021-2022,2,Albemarle County,880,Albemarle High,OSS,Out of school suspension by Division Admin,2,2,school,Valley,5
2021-2022,2,Albemarle County,880,Albemarle High,OSS,Out of school suspension by School Admin,58,46,school,Valley,5
2021-2022,2,Albemarle County,880,Albemarle High,OSS,Out of school suspension by School Board,2,2,school,Valley,5
2021-2022,2,Albemarle County,880,Albemarle High,SBP,Suspension of Bus Privileges,2,1,school,Valley,5
2021-2022,2,Albemarle County,1053,Baker-Butler Elem,OSS,Out of school suspension by Division Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,1053,Baker-Butler Elem,OSS,Out of school suspension by School Admin,5,3,school,Valley,5
2021-2022,2,Albemarle County,890,Community Lab School,OSS,Out of school suspension by School Admin,5,3,school,Valley,5
2021-2022,2,Albemarle County,340,Crozet Elementary,OSS,Out of school suspension by School Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,340,Crozet Elementary,SBP,Suspension of Bus Privileges,1,1,school,Valley,5
2021-2022,2,Albemarle County,10,Hollymead Elementary,OSS,Out of school suspension by School Admin,7,1,school,Valley,5
2021-2022,2,Albemarle County,950,Jack Jouett Middle,CR,Class Removal (less than 1/2 day),6,6,school,Valley,5
2021-2022,2,Albemarle County,950,Jack Jouett Middle,ISS,In-School Suspension (1/2 day or more),82,61,school,Valley,5
2021-2022,2,Albemarle County,950,Jack Jouett Middle,OSS,Out of school suspension by School Admin,42,34,school,Valley,5
2021-2022,2,Albemarle County,950,Jack Jouett Middle,SBP,Suspension of Bus Privileges,8,5,school,Valley,5
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,CR,Class Removal (less than 1/2 day),2,2,school,Valley,5
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,DS,Detention Sanction Outside of Regular School Hours,3,3,school,Valley,5
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,ISS,In-School Suspension (1/2 day or more),74,48,school,Valley,5
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,LOP,Loss of School Privileges or Participation in Extr,3,3,school,Valley,5
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,OSS,Out of school suspension by Division Admin,1,1,school,Valley,5
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,OSS,Out of school suspension by School Admin,48,32,school,Valley,5
2021-2022,2,Albemarle County,69,Jackson P. Burley Middle,SBP,Suspension of Bus Privileges,7,7,school,Valley,5
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,CR,Class Removal (less than 1/2 day),8,8,school,Valley,5
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,DS,Detention Sanction Outside of Regular School Hours,2,2,school,Valley,5
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,ISS,In-School Suspension (1/2 day or more),50,38,school,Valley,5
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,LOP,Loss of School Privileges or Participation in Extr,41,28,school,Valley,5
2021-2022,2,Albemarle County,942,Joseph T. Henley Middle,OSS,Out of school suspension by School Admin,91,47,school,Valley,5
2021-2022,2,Albemarle County,1051,Lakeside Middle,CR,Class Removal (less than 1/2 day),83,47,school,Valley,5
2021-2022,2,Albemarle County,1051,Lakeside Middle,DS,Detention Sanction Outside of Regular School Hours,98,52,school,Valley,5
2021-2022,2,Albemarle County,1051,Lakeside Middle,ISS,In-School Suspension (1/2 day or more),97,55,school,Valley,5
2021-2022,2,Albemarle County,1051,Lakeside Middle,LOP,Loss of School Privileges or Participation in Extr,25,19,school,Valley,5
2021-2022,2,Albemarle County,1051,Lakeside Middle,OSS,Out of school suspension by School Admin,40,28,school,Valley,5
2021-2022,2,Albemarle County,1051,Lakeside Middle,SBCS,School-based Community Service Assigned,2,2,school,Valley,5
