school_year,ft_count,pt_count,total_count,locality
2021-2022,1250198,1772,1251970,Virginia
2022-2023,1261697,1670,1263367,Virginia
2023-2024,1260127,1884,1262011,Virginia
2024-2025,1258792,2595,1261387,Virginia
