school_year,division_number,ft_count,pt_count,total_count,locality_grouping,region_name,region_number,division_name,n_disadv_students,school_number,sch_id,school_name
2021-2022,143,802,NA,802,school,Northern Virginia,4,Manassas City,334,0080,1430080,Mayfield Intermediate
2021-2022,143,2268,NA,2268,school,Northern Virginia,4,Manassas City,819,0370,1430370,Osbourn High
2021-2022,143,558,91,649,school,Northern Virginia,4,Manassas City,288,0020,1430020,Richard C. Haydon Elementary
2021-2022,143,532,99,631,school,Northern Virginia,4,Manassas City,260,0010,1430010,Weems Elementary
2021-2022,144,840,NA,840,school,Northern Virginia,4,Manassas Park City,506,0522,1440522,Cougar Elementary
2021-2022,144,737,NA,737,school,Northern Virginia,4,Manassas Park City,418,0420,1440420,Manassas Park Elementary
2021-2022,144,1122,NA,1122,school,Northern Virginia,4,Manassas Park City,541,0030,1440030,Manassas Park High
2021-2022,144,809,NA,809,school,Northern Virginia,4,Manassas Park City,440,0031,1440031,Manassas Park Middle
2021-2022,116,403,NA,403,school,Western Virginia,6,Martinsville City,336,0222,1160222,Albert Harris Elementary
2021-2022,116,97,NA,97,school,Western Virginia,6,Martinsville City,59,0224,1160224,Clearview Early Learning Center
2021-2022,116,556,NA,556,school,Western Virginia,6,Martinsville City,400,0110,1160110,Martinsville High
2021-2022,116,402,NA,402,school,Western Virginia,6,Martinsville City,309,0010,1160010,Martinsville Middle
2021-2022,116,359,NA,359,school,Western Virginia,6,Martinsville City,261,0223,1160223,Patrick Henry Elementary
2021-2022,057,319,NA,319,school,Northern Neck,3,Mathews County,156,0291,0570291,Mathews Elementary
2021-2022,057,293,NA,293,school,Northern Neck,3,Mathews County,134,0190,0570190,Mathews High
2021-2022,057,291,NA,291,school,Northern Neck,3,Mathews County,151,0100,0570100,Thomas Hunter Middle
2021-2022,058,839,2,841,school,Southside,8,Mecklenburg County,94,0980,0580980,NA
2021-2022,058,363,NA,363,school,Southside,8,Mecklenburg County,60,0960,0580960,NA
2021-2022,058,371,NA,371,school,Southside,8,Mecklenburg County,141,0910,0580910,Chase City Elementary
2021-2022,058,422,NA,422,school,Southside,8,Mecklenburg County,92,1000,0581000,Clarksville Elementary
2021-2022,058,348,NA,348,school,Southside,8,Mecklenburg County,115,1020,0581020,LaCrosse Elementary
2021-2022,058,842,NA,842,school,Southside,8,Mecklenburg County,175,0990,0580990,NA
2021-2022,058,504,NA,504,school,Southside,8,Mecklenburg County,155,0950,0580950,NA
2021-2022,058,749,NA,749,school,Southside,8,Mecklenburg County,295,0190,0580190,South Hill Elementary
2021-2022,059,593,NA,593,school,Northern Neck,3,Middlesex County,363,0291,0590291,Middlesex Elementary
2021-2022,059,335,NA,335,school,Northern Neck,3,Middlesex County,185,0090,0590090,Middlesex High
2021-2022,059,274,NA,274,school,Northern Neck,3,Middlesex County,158,0140,0590140,St. Clare Walker Middle
2021-2022,060,551,NA,551,school,Western Virginia,6,Montgomery County,255,0902,0600902,Auburn Elementary
2021-2022,060,373,NA,373,school,Western Virginia,6,Montgomery County,131,0650,0600650,Auburn High
2021-2022,060,288,NA,288,school,Western Virginia,6,Montgomery County,135,0903,0600903,Auburn Middle
2021-2022,060,274,NA,274,school,Western Virginia,6,Montgomery County,136,0700,0600700,Belview Elementary
2021-2022,060,1322,NA,1322,school,Western Virginia,6,Montgomery County,258,0760,0600760,Blacksburg High
2021-2022,060,927,NA,927,school,Western Virginia,6,Montgomery County,247,0710,0600710,Blacksburg Middle
2021-2022,060,389,NA,389,school,Western Virginia,6,Montgomery County,135,0740,0600740,Christiansburg Elementary
2021-2022,060,1095,2,1097,school,Western Virginia,6,Montgomery County,411,0770,0600770,Christiansburg High
2021-2022,060,793,NA,793,school,Western Virginia,6,Montgomery County,322,0671,0600671,Christiansburg Middle
2021-2022,060,437,NA,437,school,Western Virginia,6,Montgomery County,169,0780,0600780,Christiansburg Primary
2021-2022,060,398,NA,398,school,Western Virginia,6,Montgomery County,267,0030,0600030,Eastern Montgomery Elementary
2021-2022,060,292,1,293,school,Western Virginia,6,Montgomery County,161,0904,0600904,Eastern Montgomery High
2021-2022,060,561,NA,561,school,Western Virginia,6,Montgomery County,236,0600,0600600,Falling Branch Elementary
2021-2022,060,318,NA,318,school,Western Virginia,6,Montgomery County,59,0750,0600750,Gilbert Linkous Elementary
2021-2022,060,272,NA,272,school,Western Virginia,6,Montgomery County,36,0010,0600010,Harding Avenue Elementary
2021-2022,060,373,1,374,school,Western Virginia,6,Montgomery County,74,0901,0600901,Kipps Elementary
2021-2022,060,369,NA,369,school,Western Virginia,6,Montgomery County,122,0730,0600730,Margaret Beeks Elementary
2021-2022,060,456,NA,456,school,Western Virginia,6,Montgomery County,226,0210,0600210,Prices Fork Elementary
2021-2022,060,210,2,212,school,Western Virginia,6,Montgomery County,128,0290,0600290,Shawsville Middle
2021-2022,062,545,NA,545,school,Valley,5,Nelson County,317,0710,0620710,Nelson County High
2021-2022,062,359,NA,359,school,Valley,5,Nelson County,225,0730,0620730,Nelson Middle
2021-2022,062,286,NA,286,school,Valley,5,Nelson County,170,0010,0620010,Rockfish River Elementary
2021-2022,062,348,NA,348,school,Valley,5,Nelson County,214,0020,0620020,Tye River Elementary
2021-2022,063,723,NA,723,school,Central Virginia,1,New Kent County,202,0180,0630180,George W. Watkins Elementary
2021-2022,063,701,NA,701,school,Central Virginia,1,New Kent County,188,0010,0630010,New Kent Elementary
2021-2022,063,1083,NA,1083,school,Central Virginia,1,New Kent County,243,0020,0630020,New Kent High
2021-2022,063,766,NA,766,school,Central Virginia,1,New Kent County,189,0100,0630100,New Kent Middle
2021-2022,117,602,NA,602,school,Tidewater,2,Newport News City,459,1404,1171404,Achievable Dream Academy
2021-2022,117,505,NA,505,school,Tidewater,2,Newport News City,355,1405,1171405,Achievable Dream Middle/High
2021-2022,117,370,NA,370,school,Tidewater,2,Newport News City,171,1250,1171250,B.C. Charles Elementary
2021-2022,117,416,NA,416,school,Tidewater,2,Newport News City,171,0110,1170110,B.T. Washington Middle
2021-2022,117,593,NA,593,school,Tidewater,2,Newport News City,448,1170,1171170,Carver Elementary
2021-2022,117,904,NA,904,school,Tidewater,2,Newport News City,656,1393,1171393,Crittenden Middle
2021-2022,117,464,NA,464,school,Tidewater,2,Newport News City,247,0050,1170050,David A. Dutrow Elementary
2021-2022,117,530,3,533,school,Tidewater,2,Newport News City,204,1398,1171398,Deer Park Elementary
2021-2022,117,382,NA,382,school,Tidewater,2,Newport News City,206,1402,1171402,Denbigh Early Childhood Center
2021-2022,117,1211,NA,1211,school,Tidewater,2,Newport News City,784,0280,1170280,Denbigh High
2021-2022,117,558,NA,558,school,Tidewater,2,Newport News City,431,0130,1170130,Discovery STEM Academy
2021-2022,117,1115,NA,1115,school,Tidewater,2,Newport News City,626,0020,1170020,Ella J. Fitzgerald Middle
2021-2022,117,1083,NA,1083,school,Tidewater,2,Newport News City,523,1260,1171260,Ethel M. Gildersleeve Middle
2021-2022,117,490,NA,490,school,Tidewater,2,Newport News City,25,1407,1171407,General Stanford Elementary
2021-2022,117,421,NA,421,school,Tidewater,2,Newport News City,303,0070,1170070,George J. McIntosh Elementary
2021-2022,117,1169,NA,1169,school,Tidewater,2,Newport News City,834,1395,1171395,Heritage High
2021-2022,117,544,NA,544,school,Tidewater,2,Newport News City,336,1210,1171210,Hidenwood Elementary
2021-2022,117,378,NA,378,school,Tidewater,2,Newport News City,131,1080,1171080,Hilton Elementary
2021-2022,117,952,NA,952,school,Tidewater,2,Newport News City,606,1270,1171270,Homer L. Hines Middle
2021-2022,117,282,NA,282,school,Tidewater,2,Newport News City,240,0091,1170091,Huntington Middle
2021-2022,117,222,NA,222,school,Tidewater,2,Newport News City,168,1411,1171411,John Marshall Early Childhood Center
2021-2022,117,606,NA,606,school,Tidewater,2,Newport News City,382,0300,1170300,Joseph H. Saunders Elementary
2021-2022,117,511,NA,511,school,Tidewater,2,Newport News City,306,1180,1171180,Katherine Johnson Elementary
2021-2022,117,621,NA,621,school,Tidewater,2,Newport News City,342,1290,1171290,Kiln Creek Elementary
2021-2022,117,451,NA,451,school,Tidewater,2,Newport News City,181,0310,1170310,Knollwood Meadows Elementary
2021-2022,117,417,NA,417,school,Tidewater,2,Newport News City,281,0200,1170200,L.F. Palmer Elementary
2021-2022,117,987,NA,987,school,Tidewater,2,Newport News City,571,1400,1171400,Mary Passage Middle
2021-2022,117,1733,NA,1733,school,Tidewater,2,Newport News City,733,1220,1171220,Menchville High
2021-2022,117,487,NA,487,school,Tidewater,2,Newport News City,422,1120,1171120,Newsome Park Elementary
2021-2022,117,559,NA,559,school,Tidewater,2,Newport News City,349,0150,1170150,Oliver C. Greenwood Elementary
2021-2022,117,390,NA,390,school,Tidewater,2,Newport News City,170,0270,1170270,Richard T. Yates Elementary
2021-2022,117,586,NA,586,school,Tidewater,2,Newport News City,299,1230,1171230,Richneck Elementary
2021-2022,117,485,NA,485,school,Tidewater,2,Newport News City,223,1150,1171150,Riverside Elementary
2021-2022,117,445,NA,445,school,Tidewater,2,Newport News City,313,0250,1170250,Sedgefield Elementary
2021-2022,117,472,NA,472,school,Tidewater,2,Newport News City,320,1240,1171240,Stoney Run Elementary
2021-2022,117,506,NA,506,school,Tidewater,2,Newport News City,290,0290,1170290,T. Ryland Sanford Elementary
2021-2022,117,1623,NA,1623,school,Tidewater,2,Newport News City,886,1070,1171070,Warwick High
2021-2022,117,391,1,392,school,Tidewater,2,Newport News City,227,1410,1171410,Watkins Early Childhood Center
2021-2022,117,469,NA,469,school,Tidewater,2,Newport News City,328,0320,1170320,Willis A. Jenkins Elementary
2021-2022,117,1742,1,1743,school,Tidewater,2,Newport News City,805,1396,1171396,Woodside High
2021-2022,118,719,NA,719,school,Tidewater,2,Norfolk City,184,0185,1180185,Academy for Discovery at Lakewood
2021-2022,118,868,NA,868,school,Tidewater,2,Norfolk City,504,0760,1180760,Azalea Gardens Middle
2021-2022,118,519,NA,519,school,Tidewater,2,Norfolk City,289,0250,1180250,Bay View Elementary
2021-2022,118,166,NA,166,school,Tidewater,2,Norfolk City,104,0510,1180510,Berkley/Campostella Early Childhood Education Center
2021-2022,118,1217,NA,1217,school,Tidewater,2,Norfolk City,718,0020,1180020,Blair Middle
2021-2022,118,978,NA,978,school,Tidewater,2,Norfolk City,725,0880,1180880,Booker T Washington High
2021-2022,118,413,NA,413,school,Tidewater,2,Norfolk City,204,0040,1180040,Camp Allen Elementary
2021-2022,118,320,NA,320,school,Tidewater,2,Norfolk City,275,0220,1180220,Chesterfield Elementary
2021-2022,118,614,NA,614,school,Tidewater,2,Norfolk City,436,0550,1180550,Coleman Place Elementary
2021-2022,118,776,NA,776,school,Tidewater,2,Norfolk City,500,0560,1180560,Crossroads PreK-8 School
2021-2022,118,87,NA,87,school,Tidewater,2,Norfolk City,45,0740,1180740,Easton Preschool at Fairlawn
2021-2022,118,486,NA,486,school,Tidewater,2,Norfolk City,149,0090,1180090,Ghent K-8
2021-2022,118,496,NA,496,school,Tidewater,2,Norfolk City,322,0420,1180420,Granby Elementary
2021-2022,118,1863,NA,1863,school,Tidewater,2,Norfolk City,1033,0390,1180390,Granby High
2021-2022,118,496,NA,496,school,Tidewater,2,Norfolk City,336,0610,1180610,Ingleside Elementary
2021-2022,118,541,NA,541,school,Tidewater,2,Norfolk City,466,0430,1180430,Jacox Elementary
2021-2022,118,256,NA,256,school,Tidewater,2,Norfolk City,220,0131,1180131,James Monroe Elementary
2021-2022,118,647,NA,647,school,Tidewater,2,Norfolk City,417,0790,1180790,Lake Taylor
2021-2022,118,1012,NA,1012,school,Tidewater,2,Norfolk City,686,0840,1180840,Lake Taylor High
2021-2022,118,448,NA,448,school,Tidewater,2,Norfolk City,126,0210,1180210,Larchmont Elementary
2021-2022,118,559,NA,559,school,Tidewater,2,Norfolk City,329,0670,1180670,Larrymore Elementary
2021-2022,118,280,NA,280,school,Tidewater,2,Norfolk City,215,0520,1180520,Lindenwood Elementary
2021-2022,118,590,NA,590,school,Tidewater,2,Norfolk City,364,0682,1180682,Little Creek Elementary
2021-2022,118,429,NA,429,school,Tidewater,2,Norfolk City,174,0460,1180460,Mary Calcott Elementary
2021-2022,118,1623,NA,1623,school,Tidewater,2,Norfolk City,739,0010,1180010,Matthew Fontaine Maury High
2021-2022,118,787,NA,787,school,Tidewater,2,Norfolk City,486,0490,1180490,Northside Middle
2021-2022,118,400,NA,400,school,Tidewater,2,Norfolk City,265,0620,1180620,Norview Elementary
2021-2022,118,1889,NA,1889,school,Tidewater,2,Norfolk City,1051,0580,1180580,Norview High
2021-2022,118,1280,NA,1280,school,Tidewater,2,Norfolk City,893,0570,1180570,Norview Middle
2021-2022,118,492,NA,492,school,Tidewater,2,Norfolk City,257,0190,1180190,Ocean View Elementary
2021-2022,118,442,NA,442,school,Tidewater,2,Norfolk City,310,0630,1180630,Oceanair Elementary
2021-2022,118,292,NA,292,school,Tidewater,2,Norfolk City,267,0530,1180530,P.B. Young Sr. Elementary
2021-2022,118,473,NA,473,school,Tidewater,2,Norfolk City,356,0480,1180480,Richard Bowling Elementary
2021-2022,118,506,NA,506,school,Tidewater,2,Norfolk City,97,0850,1180850,Sewells Point Elementary
2021-2022,118,450,NA,450,school,Tidewater,2,Norfolk City,306,0650,1180650,Sherwood Forest Elementary
2021-2022,118,873,NA,873,school,Tidewater,2,Norfolk City,765,0770,1180770,Southside STEM Academy at Campostella
2021-2022,118,229,NA,229,school,Tidewater,2,Norfolk City,192,0820,1180820,St. Helena Elementary
2021-2022,118,445,NA,445,school,Tidewater,2,Norfolk City,296,0500,1180500,Suburban Park Elementary
2021-2022,118,550,NA,550,school,Tidewater,2,Norfolk City,401,0100,1180100,Tanners Creek Elementary
2021-2022,118,324,NA,324,school,Tidewater,2,Norfolk City,68,0800,1180800,Tarrallton Elementary
2021-2022,118,190,NA,190,school,Tidewater,2,Norfolk City,180,0780,1180780,NA
2021-2022,118,318,NA,318,school,Tidewater,2,Norfolk City,120,0150,1180150,Walter Herron Taylor Elementary
2021-2022,118,488,NA,488,school,Tidewater,2,Norfolk City,300,0471,1180471,Willard Elementary
2021-2022,118,524,NA,524,school,Tidewater,2,Norfolk City,460,0030,1180030,Ruffner School
2021-2022,118,123,NA,123,school,Tidewater,2,Norfolk City,43,0860,1180860,Willoughby Early Childhood Center
2021-2022,065,356,NA,356,school,Tidewater,2,Northampton County,304,0452,0650452,Kiptopeke Elementary
2021-2022,065,426,NA,426,school,Tidewater,2,Northampton County,341,0350,0650350,Northampton High
2021-2022,065,194,NA,194,school,Tidewater,2,Northampton County,165,0360,0650360,Northampton Middle
2021-2022,065,374,NA,374,school,Tidewater,2,Northampton County,310,0451,0650451,Occohannock Elementary
2021-2022,066,542,NA,542,school,Northern Neck,3,Northumberland County,318,0331,0660331,Northumberland Elementary
2021-2022,066,361,NA,361,school,Northern Neck,3,Northumberland County,169,0040,0660040,Northumberland High
2021-2022,066,278,NA,278,school,Northern Neck,3,Northumberland County,155,0210,0660210,Northumberland Middle
2021-2022,119,323,NA,323,school,Southwest,7,Norton City,177,0020,1190020,J.I. Burton High
2021-2022,119,505,NA,505,school,Southwest,7,Norton City,212,0040,1190040,Norton Elementary
2021-2022,067,389,NA,389,school,Southside,8,Nottoway County,252,0340,0670340,Blackstone Primary
2021-2022,067,358,NA,358,school,Southside,8,Nottoway County,237,0330,0670330,Crewe Primary
2021-2022,067,564,NA,564,school,Southside,8,Nottoway County,322,0301,0670301,Nottoway High
2021-2022,067,237,NA,237,school,Southside,8,Nottoway County,156,0300,0670300,Nottoway Intermediate
2021-2022,067,276,NA,276,school,Southside,8,Nottoway County,179,0302,0670302,Nottoway Middle
2021-2022,068,314,NA,314,school,Northern Virginia,4,Orange County,159,0360,0680360,Gordon-Barbour Elementary
2021-2022,068,253,NA,253,school,Northern Virginia,4,Orange County,133,0070,0680070,Lightfoot Elementary
2021-2022,068,496,NA,496,school,Northern Virginia,4,Orange County,179,0050,0680050,Locust Grove Elementary
2021-2022,068,671,NA,671,school,Northern Virginia,4,Orange County,269,0471,0680471,Locust Grove Middle
2021-2022,068,422,NA,422,school,Northern Virginia,4,Orange County,125,0051,0680051,Locust Grove Primary
2021-2022,068,1521,1,1522,school,Northern Virginia,4,Orange County,667,0330,0680330,Orange County High
2021-2022,068,645,NA,645,school,Northern Virginia,4,Orange County,327,0370,0680370,Orange Elementary
2021-2022,068,476,NA,476,school,Northern Virginia,4,Orange County,272,0340,0680340,Prospect Heights Middle
2021-2022,068,229,NA,229,school,Northern Virginia,4,Orange County,89,0350,0680350,Unionville Elementary
2021-2022,069,464,NA,464,school,Northern Virginia,4,Page County,270,0350,0690350,Luray Elementary
2021-2022,069,503,NA,503,school,Northern Virginia,4,Page County,217,0110,0690110,Luray High
2021-2022,069,345,NA,345,school,Northern Virginia,4,Page County,164,0400,0690400,Luray Middle
2021-2022,069,552,NA,552,school,Northern Virginia,4,Page County,239,0380,0690380,Page County High
2021-2022,069,376,NA,376,school,Northern Virginia,4,Page County,174,0390,0690390,Page County Middle
2021-2022,069,307,NA,307,school,Northern Virginia,4,Page County,162,0310,0690310,Shenandoah Elementary
2021-2022,069,219,NA,219,school,Northern Virginia,4,Page County,103,0050,0690050,Springfield Elementary
2021-2022,069,370,NA,370,school,Northern Virginia,4,Page County,202,0210,0690210,Stanley Elementary
2021-2022,070,255,NA,255,school,Western Virginia,6,Patrick County,153,0440,0700440,Blue Ridge Elementary
2021-2022,070,217,NA,217,school,Western Virginia,6,Patrick County,129,0350,0700350,Hardin Reynolds Memorial School
2021-2022,070,424,NA,424,school,Western Virginia,6,Patrick County,72,0150,0700150,Meadows of Dan Elementary
2021-2022,070,867,NA,867,school,Western Virginia,6,Patrick County,411,0700,0700700,Patrick County High
2021-2022,070,254,NA,254,school,Western Virginia,6,Patrick County,140,0680,0700680,Patrick Springs Primary
2021-2022,070,377,NA,377,school,Western Virginia,6,Patrick County,204,0320,0700320,Stuart Elementary
2021-2022,070,144,NA,144,school,Western Virginia,6,Patrick County,74,0080,0700080,Woolwine Elementary
2021-2022,120,521,NA,521,school,Central Virginia,1,Petersburg City,405,0110,1200110,Cool Spring Elementary
2021-2022,120,342,NA,342,school,Central Virginia,1,Petersburg City,277,0170,1200170,Lakemont Elementary
2021-2022,120,1027,NA,1027,school,Central Virginia,1,Petersburg City,804,0200,1200200,Petersburg High
2021-2022,120,523,NA,523,school,Central Virginia,1,Petersburg City,405,0180,1200180,Pleasants Lane Elementary
2021-2022,120,917,NA,917,school,Central Virginia,1,Petersburg City,729,0121,1200121,Vernon Johns Middle
2021-2022,120,525,NA,525,school,Central Virginia,1,Petersburg City,377,0130,1200130,Walnut Hill Elementary
2021-2022,120,324,NA,324,school,Central Virginia,1,Petersburg City,164,0160,1200160,Westview Early Childhood Education Center
2021-2022,071,210,NA,210,school,Western Virginia,6,Pittsylvania County,113,1853,0711853,Brosville Elementary
2021-2022,071,239,NA,239,school,Western Virginia,6,Pittsylvania County,123,0640,0710640,Chatham Elementary
2021-2022,071,616,NA,616,school,Western Virginia,6,Pittsylvania County,264,1720,0711720,Chatham High
2021-2022,071,462,NA,462,school,Western Virginia,6,Pittsylvania County,243,1660,0711660,Chatham Middle
2021-2022,071,628,NA,628,school,Western Virginia,6,Pittsylvania County,310,1680,0711680,Dan River High
2021-2022,071,444,NA,444,school,Western Virginia,6,Pittsylvania County,230,1090,0711090,Dan River Middle
2021-2022,071,464,NA,464,school,Western Virginia,6,Pittsylvania County,276,0280,0710280,Gretna Elementary
2021-2022,071,554,NA,554,school,Western Virginia,6,Pittsylvania County,306,1700,0711700,Gretna High
2021-2022,071,406,NA,406,school,Western Virginia,6,Pittsylvania County,240,0290,0710290,Gretna Middle
2021-2022,071,233,NA,233,school,Western Virginia,6,Pittsylvania County,151,0030,0710030,John L. Hurt Elementary
2021-2022,071,503,NA,503,school,Western Virginia,6,Pittsylvania County,292,1690,0711690,Kentuck Elementary
2021-2022,071,132,NA,132,school,Western Virginia,6,Pittsylvania County,79,1750,0711750,Mount Airy Elementary
2021-2022,071,393,NA,393,school,Western Virginia,6,Pittsylvania County,223,1460,0711460,Southside Elementary
2021-2022,071,413,NA,413,school,Western Virginia,6,Pittsylvania County,220,1710,0711710,Stony Mill Elementary
2021-2022,071,835,NA,835,school,Western Virginia,6,Pittsylvania County,346,1730,0711730,Tunstall High
2021-2022,071,573,NA,573,school,Western Virginia,6,Pittsylvania County,277,1130,0711130,Tunstall Middle
2021-2022,071,642,NA,642,school,Western Virginia,6,Pittsylvania County,304,1851,0711851,Twin Springs Elementary
2021-2022,071,168,NA,168,school,Western Virginia,6,Pittsylvania County,101,1740,0711740,Union Hall Elementary
2021-2022,142,452,NA,452,school,Tidewater,2,Poquoson City,95,0150,1420150,Poquoson Elementary
2021-2022,142,698,1,699,school,Tidewater,2,Poquoson City,131,0010,1420010,Poquoson High
2021-2022,142,472,NA,472,school,Tidewater,2,Poquoson City,95,0130,1420130,Poquoson Middle
2021-2022,142,434,31,465,school,Tidewater,2,Poquoson City,114,0160,1420160,Poquoson Primary
2021-2022,121,432,NA,432,school,Tidewater,2,Portsmouth City,279,1766,1211766,Brighton Elementary
2021-2022,121,628,NA,628,school,Tidewater,2,Portsmouth City,314,0321,1210321,Churchland Academy Elementary
2021-2022,121,652,NA,652,school,Tidewater,2,Portsmouth City,169,0650,1210650,Churchland Elementary
2021-2022,121,1419,NA,1419,school,Tidewater,2,Portsmouth City,550,0500,1210500,Churchland High
2021-2022,121,878,NA,878,school,Tidewater,2,Portsmouth City,432,0320,1210320,Churchland Middle
2021-2022,121,123,NA,123,school,Tidewater,2,Portsmouth City,NA,0322,1210322,Churchland Preschool Center
2021-2022,121,599,NA,599,school,Tidewater,2,Portsmouth City,267,0160,1210160,Churchland Primary & Intermediate
2021-2022,121,665,NA,665,school,Tidewater,2,Portsmouth City,399,1400,1211400,Cradock Elementary
2021-2022,121,524,NA,524,school,Tidewater,2,Portsmouth City,335,1130,1211130,Cradock Middle
2021-2022,121,576,NA,576,school,Tidewater,2,Portsmouth City,409,0190,1210190,Douglass Park Elementary
2021-2022,121,482,NA,482,school,Tidewater,2,Portsmouth City,234,1630,1211630,Hodges Manor Elementary
2021-2022,121,1091,NA,1091,school,Tidewater,2,Portsmouth City,702,0240,1210240,I.C. Norcom High
2021-2022,121,437,NA,437,school,Tidewater,2,Portsmouth City,268,1650,1211650,Lakeview Elementary
2021-2022,121,1260,NA,1260,school,Tidewater,2,Portsmouth City,685,1660,1211660,Manor High
2021-2022,121,217,NA,217,school,Tidewater,2,Portsmouth City,NA,1768,1211768,Mount Hermon Preschool Center
2021-2022,121,212,NA,212,school,Tidewater,2,Portsmouth City,NA,1770,1211770,Olive Branch Preschool Center
2021-2022,121,518,NA,518,school,Tidewater,2,Portsmouth City,313,0060,1210060,Park View Elementary
2021-2022,121,586,NA,586,school,Tidewater,2,Portsmouth City,293,0290,1210290,Simonsdale Elementary
2021-2022,121,559,NA,559,school,Tidewater,2,Portsmouth City,239,1769,1211769,Victory Elementary
2021-2022,121,618,NA,618,school,Tidewater,2,Portsmouth City,349,0230,1210230,Waterview Elementary
2021-2022,121,471,NA,471,school,Tidewater,2,Portsmouth City,286,0210,1210210,Westhaven Elementary
2021-2022,121,570,NA,570,school,Tidewater,2,Portsmouth City,317,0310,1210310,William E. Waters Middle
2021-2022,072,663,NA,663,school,Central Virginia,1,Powhatan County,124,0021,0720021,Flat Rock Elementary
2021-2022,072,762,NA,762,school,Central Virginia,1,Powhatan County,192,0231,0720231,Pocahontas Elementary
2021-2022,072,439,NA,439,school,Central Virginia,1,Powhatan County,107,0013,0720013,Powhatan Elementary
2021-2022,072,1444,9,1453,school,Central Virginia,1,Powhatan County,273,0011,0720011,Powhatan High
2021-2022,072,987,1,988,school,Central Virginia,1,Powhatan County,188,0130,0720130,Powhatan Middle
2021-2022,073,580,NA,580,school,Southside,8,Prince Edward County,296,0400,0730400,Prince Edward County High
2021-2022,073,774,3,777,school,Southside,8,Prince Edward County,444,0010,0730010,Prince Edward Elementary
2021-2022,073,560,NA,560,school,Southside,8,Prince Edward County,330,0020,0730020,Prince Edward Middle
2021-2022,074,527,NA,527,school,Central Virginia,1,Prince George County,267,0340,0740340,David A. Harrison Elementary
2021-2022,074,1414,1,1415,school,Central Virginia,1,Prince George County,717,0320,0740320,J.E.J. Moore Middle
2021-2022,074,616,NA,616,school,Central Virginia,1,Prince George County,348,0310,0740310,L.L. Beazley Elementary
2021-2022,074,750,NA,750,school,Central Virginia,1,Prince George County,424,0290,0740290,North Elementary
2021-2022,074,1785,1,1786,school,Central Virginia,1,Prince George County,756,0020,0740020,Prince George High
2021-2022,074,490,NA,490,school,Central Virginia,1,Prince George County,208,0300,0740300,South Elementary
2021-2022,074,557,NA,557,school,Central Virginia,1,Prince George County,293,0280,0740280,Middle Road Elementary
2021-2022,075,788,NA,788,school,Northern Virginia,4,Prince William County,216,0330,0750330,A. Henderson Elementary
2021-2022,075,768,NA,768,school,Northern Virginia,4,Prince William County,337,0760,0750760,Antietam Elementary
2021-2022,075,784,NA,784,school,Northern Virginia,4,Prince William County,120,0200,0750200,Ashland Elementary
2021-2022,075,2555,6,2561,school,Northern Virginia,4,Prince William County,298,0290,0750290,Battlefield High
2021-2022,075,395,NA,395,school,Northern Virginia,4,Prince William County,306,0670,0750670,Bel Air Elementary
2021-2022,075,510,NA,510,school,Northern Virginia,4,Prince William County,341,0600,0750600,Belmont Elementary
2021-2022,075,720,NA,720,school,Northern Virginia,4,Prince William County,200,0840,0750840,Bennett Elementary
2021-2022,075,940,1,941,school,Northern Virginia,4,Prince William County,156,0530,0750530,Brentsville District High
2021-2022,075,655,NA,655,school,Northern Virginia,4,Prince William County,134,0860,0750860,Bristow Run Elementary
2021-2022,075,739,NA,739,school,Northern Virginia,4,Prince William County,181,0950,0750950,Buckland Mills Elementary
2021-2022,075,1108,NA,1108,school,Northern Virginia,4,Prince William County,410,0920,0750920,Bull Run Middle
2021-2022,075,802,NA,802,school,Northern Virginia,4,Prince William County,596,0620,0750620,C.A. Sinclair Elementary
2021-2022,075,2077,1,2078,school,Northern Virginia,4,Prince William County,985,0710,0750710,C.D. Hylton High
2021-2022,075,506,NA,506,school,Northern Virginia,4,Prince William County,85,0900,0750900,Cedar Point Elementary
2021-2022,075,2869,1,2870,school,Northern Virginia,4,Prince William County,599,5010,0755010,Charles J. Colgan Sr. High
2021-2022,075,795,NA,795,school,Northern Virginia,4,Prince William County,327,0970,0750970,Chris Yung Elementary
2021-2022,075,398,NA,398,school,Northern Virginia,4,Prince William County,160,0660,0750660,Coles Elementary
2021-2022,075,815,NA,815,school,Northern Virginia,4,Prince William County,277,0309,0750309,Covington-Harper Elementary
2021-2022,075,424,NA,424,school,Northern Virginia,4,Prince William County,309,0610,0750610,Dale City Elementary
2021-2022,075,467,NA,467,school,Northern Virginia,4,Prince William County,318,0280,0750280,Dumfries Elementary
2021-2022,075,1200,1,1201,school,Northern Virginia,4,Prince William County,244,0490,0750490,E.H. Marsteller Middle
2021-2022,075,547,NA,547,school,Northern Virginia,4,Prince William County,452,0580,0750580,Elizabeth Vaughan Elementary
2021-2022,075,393,NA,393,school,Northern Virginia,4,Prince William County,275,0120,0750120,Enterprise Elementary
2021-2022,075,902,NA,902,school,Northern Virginia,4,Prince William County,520,0370,0750370,Fannie W. Fitzgerald Elementary
2021-2022,075,512,NA,512,school,Northern Virginia,4,Prince William County,401,0450,0750450,Featherstone Elementary
2021-2022,075,2308,NA,2308,school,Northern Virginia,4,Prince William County,813,0870,0750870,Forest Park High
2021-2022,075,1143,NA,1143,school,Northern Virginia,4,Prince William County,872,0520,0750520,Fred M. Lynn Middle
