division_number,nces_school_num,school_num,school_name,low_grades,high_grades,school_description,grade_standard,city,zip,fall_membership_schools,sch_id,region_name,region_number,division_name
001,510006001737,0701,Accawmacke Elementary,PK,05,Public school - Regular,Elementary,Accomac,23301,Membership,0010701,Tidewater,2,Accomack County
001,510006002028,0540,Arcadia High,09,12,Public school - Regular,High,Oak Hall,23416,Membership,0010540,Tidewater,2,Accomack County
001,510006002434,0704,Arcadia Middle,06,08,Public school - Regular,Middle,Oak Hall,23416,Membership,0010704,Tidewater,2,Accomack County
001,510006001988,0541,Badger Vocational Education Center - North,NA,NA,Public center - Career and Technical Ed.,NA,Oak Hall,23416,Non-Membership,0010541,Tidewater,2,Accomack County
001,510006002004,0071,Badger Vocational Education Center - South,NA,NA,Public center - Career and Technical Ed.,NA,Onley,23418,Non-Membership,0010071,Tidewater,2,Accomack County
001,510006000006,0080,Chincoteague Elementary,PK,05,Public school - Regular,Elementary,Chincoteague,23336,Membership,0010080,Tidewater,2,Accomack County
001,510006000007,0580,Chincoteague High,06,12,Public school - Regular,High,Chincoteague,23336,Membership,0010580,Tidewater,2,Accomack County
001,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0019990,Tidewater,2,Accomack County
001,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0019991,Tidewater,2,Accomack County
001,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0019999,Tidewater,2,Accomack County
001,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0019998,Tidewater,2,Accomack County
001,510006000009,0600,Kegotank Elementary,PK,05,Public school - Regular,Elementary,Mappsville,23407,Membership,0010600,Tidewater,2,Accomack County
001,NA,9997,Local or Regional Jail,KG,12,Local or Regional Jail,Other,Onancock,23417,Membership,0019997,Tidewater,2,Accomack County
001,510006001738,0702,Metompkin Elementary,PK,05,Public school - Regular,Elementary,Parksley,23421,Membership,0010702,Tidewater,2,Accomack County
001,510006002003,0070,Nandua High,09,12,Public school - Regular,High,Onley,23418,Membership,0010070,Tidewater,2,Accomack County
001,510006002433,0703,Nandua Middle,06,08,Public school - Regular,Middle,Onley,23418,Membership,0010703,Tidewater,2,Accomack County
001,510006000012,0590,Pungoteague Elementary,PK,05,Public school - Regular,Elementary,Melfa,23410,Membership,0010590,Tidewater,2,Accomack County
001,NA,8888,Special Situation Schools,NA,NA,Unknown,NA,NA,NA,Non-Membership,0018888,Tidewater,2,Accomack County
001,NA,9992,Suspension Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0019992,Tidewater,2,Accomack County
001,510006000014,0530,Tangier Combined,PK,12,Public school - Regular,Other,Tangier,23440,Membership,0010530,Tidewater,2,Accomack County
002,510009000002,0160,Agnor Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22901,Membership,0020160,Valley,5,Albemarle County
002,510009000015,0880,Albemarle High,09,12,Public school - Regular,High,Charlottesville,22901,Membership,0020880,Valley,5,Albemarle County
002,510009001937,1053,Baker-Butler Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22911,Membership,0021053,Valley,5,Albemarle County
002,510009000017,0100,Broadus Wood Elementary,PK,05,Public school - Regular,Elementary,Earlysville,22936,Membership,0020100,Valley,5,Albemarle County
002,510009000018,0941,Brownsville Elementary,PK,05,Public school - Regular,Elementary,Crozet,22932,Membership,0020941,Valley,5,Albemarle County
002,510009000030,0890,Community Lab School,06,12,Public school - Charter,High,Charlottesville,22903,Membership,0020890,Valley,5,Albemarle County
002,NA,9990,Community PK School,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0029990,Valley,5,Albemarle County
002,510009000020,0340,Crozet Elementary,KG,05,Public school - Regular,Elementary,Crozet,22932,Membership,0020340,Valley,5,Albemarle County
002,510009000022,0010,Hollymead Elementary,PK,05,Public school - Regular,Elementary,Charlottesville,22911,Membership,0020010,Valley,5,Albemarle County
002,NA,9991,Home Educational Services,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0029991,Valley,5,Albemarle County
002,NA,9999,Homebased,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0029999,Valley,5,Albemarle County
002,NA,9998,Homebound,NA,NA,Public center - Alternative,NA,NA,NA,Non-Membership,0029998,Valley,5,Albemarle County
002,510009000028,0250,Ivy Elementary,KG,05,Public school - Regular,Elementary,Charlottesville,22901,Membership,0020250,Valley,5,Albemarle County
002,510009000024,0069,Jackson P. Burley Middle,06,08,Public school - Regular,Middle,Charlottesville,22903,Membership,0020069,Valley,5,Albemarle County
002,510009000025,0942,Joseph T. Henley Middle,06,08,Public school - Regular,Middle,Crozet,22932,Membership,0020942,Valley,5,Albemarle County
002,510009000023,0950,Journey Middle,06,08,Public school - Regular,Middle,Charlottesville,22901,Membership,0020950,Valley,5,Albemarle County
002,510009000751,1051,Lakeside Middle,06,08,Public school - Regular,Middle,Charlottesville,22911,Membership,0021051,Valley,5,Albemarle County
