question,score_label,explanation,id_23,id_22,var_name,construct,measure
"During the past 12 months, did you ever feel so sad or hopeless almost every day for two weeks or more in a row that you stopped doing some usual activities?","{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q44_1_f,STU377_1_freq,pct_sad_activity,anxiety and depression,% of student that felt sad or hopeless for 2+ weeks that stopped doing usual activities 
"Anxiety Scale (How often over the last 2 weeks, were you bothered by feeling nervous, anxious, or on edge?/were you bothered by not being able to stop or control worrying?)","{""1"":""Not at All"", ""2"":""Several Days"", ""3"":""More than Half the Days"", ""4"":""Nearly Every Day""}",Average of scores,Q45_m,NA,avg_total_anx_23,anxiety and depression,Average combined anxiety level for the past 2 weeks
"How often over the last 2 weeks, were you bothered by feeling nervous, anxious, or on edge?","{""1"":""Not at All"", ""2"":""Several Days"", ""3"":""More than Half the Days"", ""4"":""Nearly Every Day""}",Average of scores,NA,STU378_1_mean,avg_nerv_22,anxiety and depression,"Average nervousness, anxious, or on edge level for the past 2 weeks "
"How often over the last 2 weeks, were you bothered by not being able to stop or control worrying?","{""1"":""Not at All"", ""2"":""Several Days"", ""3"":""More than Half the Days"", ""4"":""Nearly Every Day""}",Average of scores,NA,STU378_2_mean,avg_worry_22,anxiety and depression,Average unable to stop worrying level for the past 2 weeks 
"Depression Scale (How often over the last 2 weeks, were you bothered by Feeling down, depressed, or hopeless?/were you bothered by Having little interest or pleasure doing things?)","{""1"":""Not at All"", ""2"":""Several Days"", ""3"":""More than Half the Days"", ""4"":""Nearly Every Day""}",Average of scores,AQ45_m,NA,avg_total_dep_23,anxiety and depression,Average combined depression level for the past 2 weeks
"How often over the last 2 weeks, were you bothered by Feeling down, depressed, or hopeless?","{""1"":""Not at All"", ""2"":""Several Days"", ""3"":""More than Half the Days"", ""4"":""Nearly Every Day""}",Average of scores,NA,STU378_3_mean,avg_down_22,anxiety and depression,"Average down, depressed, or hopeless level for the past 2 weeks"
"How often over the last 2 weeks, were you bothered by Having little interest or pleasure doing things?","{""1"":""Not at All"", ""2"":""Several Days"", ""3"":""More than Half the Days"", ""4"":""Nearly Every Day""}",Average of scores,NA,STU378_4_mean,avg_nointerest_22,anxiety and depression,Average level of having little interest or pleasure doing things over the past 2 weeks
Please indicate if and why you have a difficult time participating in academic or extracurricular activities---I chose not to participate because I worry that I will not be welcomed,"{""0"":""Not selected"",""1"":""Selected""}",% of selecting 1,Q7_3_f,STU343_4_freq,pct_no_particpate,belonging,% of students not participating in academic or extracurricular activities because they don’t fit in or feel welcomed
Have you been bullied this school year? ,"{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q24_1_f,STU359_1_freq,pct_bullied,bullying,% of students that have been bullied during the school year
Have you participated in bullying another student this school year?,"{""0"":""No"",""1"":""Yes""}",% of selecting 1,Q26_1_f,STU361_1_freq,pct_bullied_others,bullying,% of student that have bullies another student during the school year
