label,locality_grouping,name,value
Giles County,division,staff_per_1k_students,3.3566433566433567
Gloucester County,division,pct_disadv,45.036319612590795
Gloucester County,division,staff_per_1k_students,5.782889426957223
Goochland County,division,pct_disadv,29.05788876276958
Goochland County,division,staff_per_1k_students,5.675368898978434
Grayson County,division,pct_disadv,60.858424087123645
Grayson County,division,staff_per_1k_students,5.445227418321589
Greene County,division,pct_disadv,44.50035945363048
Greene County,division,staff_per_1k_students,7.584471603163193
Greensville County,division,pct_disadv,78.82994546355975
Greensville County,division,staff_per_1k_students,4.4620723847297965
Halifax County,division,pct_disadv,57.40329035126723
Halifax County,division,staff_per_1k_students,2.6678523788350375
Hampton City,division,pct_disadv,54.27471116816432
Hampton City,division,staff_per_1k_students,6.546854942233633
Hanover County,division,pct_disadv,26.783158396946565
Hanover County,division,staff_per_1k_students,8.289599236641223
Harrisonburg City,division,pct_disadv,51.26777077531878
Harrisonburg City,division,staff_per_1k_students,10.597977429283306
Henrico County,division,pct_disadv,41.275826852070075
Henrico County,division,staff_per_1k_students,6.756225940765182
Henry County,division,pct_disadv,64.83516483516483
Henry County,division,staff_per_1k_students,6.289762868710238
Highland County,division,pct_disadv,46.15384615384615
Highland County,division,staff_per_1k_students,6.73076923076923
Hopewell City,division,pct_disadv,77.67653758542141
Hopewell City,division,staff_per_1k_students,9.060997215894709
Isle of Wight County,division,pct_disadv,32.107265809023374
Isle of Wight County,division,staff_per_1k_students,5.627831128827686
King George County,division,pct_disadv,31.27312295973885
King George County,division,staff_per_1k_students,4.570184983677911
King William County,division,pct_disadv,42.857142857142854
King William County,division,staff_per_1k_students,5.676442762535478
King and Queen County,division,pct_disadv,45.335515548281506
King and Queen County,division,staff_per_1k_students,5.728314238952537
Lancaster County,division,pct_disadv,56.581532416502945
Lancaster County,division,staff_per_1k_students,11.787819253438114
Lee County,division,pct_disadv,65.03708698583951
Lee County,division,staff_per_1k_students,5.900202292650034
Lexington City,division,pct_disadv,30.66914498141264
Lexington City,division,staff_per_1k_students,3.717472118959108
Loudoun County,division,pct_disadv,24.643899090441053
Loudoun County,division,staff_per_1k_students,7.509745274461252
Louisa County,division,pct_disadv,45.10686164229472
Louisa County,division,staff_per_1k_students,5.2493438320209975
Lunenburg County,division,pct_disadv,58.40202916930881
Lunenburg County,division,staff_per_1k_students,6.341154090044388
Lynchburg City,division,pct_disadv,66.28586265091523
Lynchburg City,division,staff_per_1k_students,14.020511489030248
Madison County,division,pct_disadv,37.1374527112232
Madison County,division,staff_per_1k_students,5.674653215636822
Manassas City,division,pct_disadv,43.70351037452695
Manassas City,division,staff_per_1k_students,10.244029753360303
Manassas Park City,division,pct_disadv,54.907161803713535
Manassas Park City,division,staff_per_1k_students,6.4839375184202765
Martinsville City,division,pct_disadv,69.8271054099275
Martinsville City,division,staff_per_1k_students,8.365867261572783
Mathews County,division,pct_disadv,41.21365360303413
Mathews County,division,staff_per_1k_students,8.849557522123893
Mecklenburg County,division,pct_disadv,53.41694394676222
Mecklenburg County,division,staff_per_1k_students,5.1190171487074485
Middlesex County,division,pct_disadv,63.570856685348275
Middlesex County,division,staff_per_1k_students,5.604483586869495
Montgomery County,division,pct_disadv,37.536904259805986
Montgomery County,division,staff_per_1k_students,4.955714888232813
Nelson County,division,pct_disadv,52.04286671131949
Nelson County,division,staff_per_1k_students,6.363027461486939
New Kent County,division,pct_disadv,28.55543113101904
New Kent County,division,staff_per_1k_students,5.039193729003359
Newport News City,division,pct_disadv,57.74881425211122
Newport News City,division,staff_per_1k_students,6.979524158408206
